metric,value
version,MVP_QAIC_P133_GEM_MULTIMODAL_RESPONSE_CAPTURE_GATE_0_1_0_SAFE
gate_status,PASS_WITH_HUMAN_REVIEW
status,REVIEW_REQUIRED
reference_currency,USD
image_used,True
image_usage_evidence_status,IMAGE_USED
human_review_required,True
no_order_no_sizing,True
no_auto_apply_in_blockers,True
minified_json_detected,True
asset_value_sum_usd,655.66
portfolio_total_value_usd,655.66
value_delta_usd,0.0
allocation_sum_pct,100.0
allocation_delta_pct,0.0
asset_pnl_sum_usd,-117.63
portfolio_unrealized_pnl_usd,-117.63
pnl_delta_usd,0.0
failure_count,0
advisory_count,2
