migration_id,prompt_id,source_tab,source_row,blockers,review_notes
MIG-prompt_01_portfolio_analysis-fe293d100e8c,prompt_01_portfolio_analysis,GPT_PROMPT_RUNTIME_SPEC,2,PROMPT_TEXT_MISSING | GEM_ID_MISSING,duplicate_prompt_id_count=2 | blockers_must_be_resolved_before_write
MIG-prompt_02_market_analysis-3944102d58a4,prompt_02_market_analysis,GPT_PROMPT_RUNTIME_SPEC,3,PROMPT_TEXT_MISSING | GEM_ID_MISSING,duplicate_prompt_id_count=2 | blockers_must_be_resolved_before_write
MIG-prompt_03_buy_analysis_multi_horizon-a570fd9d7c96,prompt_03_buy_analysis_multi_horizon,GPT_PROMPT_RUNTIME_SPEC,4,PROMPT_TEXT_MISSING | GEM_ID_MISSING,duplicate_prompt_id_count=2 | blockers_must_be_resolved_before_write
MIG-prompt_04_volatile_leverage_analysis-160099896745,prompt_04_volatile_leverage_analysis,GPT_PROMPT_RUNTIME_SPEC,5,PROMPT_TEXT_MISSING | GEM_ID_MISSING,duplicate_prompt_id_count=2 | blockers_must_be_resolved_before_write
MIG-prompt_05_full_trading_review-b7b11a16abda,prompt_05_full_trading_review,GPT_PROMPT_RUNTIME_SPEC,6,PROMPT_TEXT_MISSING | GEM_ID_MISSING,duplicate_prompt_id_count=2 | blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_2-2d5447e0b817,qaic_output_contract_row_2,QAIC_OUTPUT_CONTRACT,2,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_3-820f1004a1c2,qaic_output_contract_row_3,QAIC_OUTPUT_CONTRACT,3,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_4-4d089b4f0137,qaic_output_contract_row_4,QAIC_OUTPUT_CONTRACT,4,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_5-a43315686144,qaic_output_contract_row_5,QAIC_OUTPUT_CONTRACT,5,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_6-dafdef303fca,qaic_output_contract_row_6,QAIC_OUTPUT_CONTRACT,6,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_7-5d2a4e9bc640,qaic_output_contract_row_7,QAIC_OUTPUT_CONTRACT,7,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_8-9f2e7266852b,qaic_output_contract_row_8,QAIC_OUTPUT_CONTRACT,8,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_9-1c5e9ea1cd01,qaic_output_contract_row_9,QAIC_OUTPUT_CONTRACT,9,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_10-c5700fa7e3a0,qaic_output_contract_row_10,QAIC_OUTPUT_CONTRACT,10,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_11-cc4b3468fbfa,qaic_output_contract_row_11,QAIC_OUTPUT_CONTRACT,11,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_12-472193e5e547,qaic_output_contract_row_12,QAIC_OUTPUT_CONTRACT,12,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_13-a2ab50ea813e,qaic_output_contract_row_13,QAIC_OUTPUT_CONTRACT,13,GEM_ID_MISSING,blockers_must_be_resolved_before_write
MIG-qaic_output_contract_row_14-829dfc4694b9,qaic_output_contract_row_14,QAIC_OUTPUT_CONTRACT,14,GEM_ID_MISSING,blockers_must_be_resolved_before_write
