prefix,found,gate,export_dir,selected_file_count
P140_NICEGUI_COCKPIT_REPLICA_RENDERER_,True,OK,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P140_NICEGUI_COCKPIT_REPLICA_RENDERER_20260623_120204,3
P141_NICEGUI_COCKPIT_REPLICA_LOCAL_LAUNCH_,True,OK,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P141_NICEGUI_COCKPIT_REPLICA_LOCAL_LAUNCH_20260623_121105,4
P142_UI_FIDELITY_SHELL_,True,OK,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P142_UI_FIDELITY_SHELL_20260623_121818,4
P143B_DATA_PREVIEW_SOURCE_EXPANSION_,True,OK,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P143B_DATA_PREVIEW_SOURCE_EXPANSION_20260623_123448,4
P144_PROMPT_COCKPIT_WORKFLOWS_,True,OK,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P144_PROMPT_COCKPIT_WORKFLOWS_20260623_124209,4
P145_GEM_RESPONSE_IMPORT_E2E_,True,OK,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P145_GEM_RESPONSE_IMPORT_E2E_20260623_124938,4
P146_CORRECTION_QUEUE_UI_,True,OK,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P146_CORRECTION_QUEUE_UI_20260623_125709,4
P147_OPERATOR_POLISH_,True,OK,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P147_OPERATOR_POLISH_20260623_130332,4
P148_SYNC_STRATEGY_READONLY_,True,OK,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P148_SYNC_STRATEGY_READONLY_20260623_130842,5
P149_MIGRATION_CLOSE_GATE_,True,OK,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P149_MIGRATION_CLOSE_GATE_20260623_131402,5
P150_PUBLIC_PREP_SELECTOR_OR_STOP_,True,OK,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\MVP_QAIC_PY\05_EXPORTS\P150_PUBLIC_PREP_SELECTOR_OR_STOP_20260623_132354,5
