function_name,script_file_name,module_family,function_visibility,line_number,functional_role,migration_priority,python_target_package,safe_migration_mode
onOpen,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,INTERNAL,34,OTHER,P2,mvp_qaic_py.setup,READONLY_PORT_FIRST
MVPQAIC_Setup_P0,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,PUBLIC,46,OTHER,P2,mvp_qaic_py.setup,READONLY_PORT_FIRST
MVPQAIC_Status_P0,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,PUBLIC,69,OTHER,P2,mvp_qaic_py.setup,READONLY_PORT_FIRST
MVPQAIC_GetOrCreateSheet_,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,PUBLIC,86,OTHER,P2,mvp_qaic_py.setup,READONLY_PORT_FIRST
MVPQAIC_EnsureHeaders_,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,PUBLIC,92,OTHER,P2,mvp_qaic_py.setup,READONLY_PORT_FIRST
MVPQAIC_SeedConfig_,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,PUBLIC,100,OTHER,P2,mvp_qaic_py.setup,READONLY_PORT_FIRST
MVPQAIC_SetConfigValue_,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,PUBLIC,109,OTHER,P2,mvp_qaic_py.setup,READONLY_PORT_FIRST
MVPQAIC_GetConfigValue_,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,PUBLIC,118,OTHER,P2,mvp_qaic_py.setup,READONLY_PORT_FIRST
MVPQAIC_SearchKnowledge,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,14,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
MVPQAIC_GetMethod,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,32,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
MVPQAIC_GetSignals,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,34,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
