record_type,script_file_name,module_family,function_name,function_visibility,functional_role,migration_priority,evidence_text
SCRIPT_INVENTORY,appsscript.json,MANIFEST,,,OTHER,P2,MANIFEST appsscript.json
RISK_HIT,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,,,OTHER,P2,"SETUP_FOUNDATION mvpqaic_00_setup_p0.js risk_line_text if (!hasAnyHeader) { sheet.getRange(1,1,1,headers.length).setValues([headers]); return; } Review required before cleanup/delete."
RISK_HIT,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,,,OTHER,P2,"SETUP_FOUNDATION mvpqaic_00_setup_p0.js risk_line_text if (mismatch && sheet.getLastRow() <= 1) sheet.getRange(1,1,1,headers.length).setValues([headers]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,,,OTHER,P2,"SETUP_FOUNDATION mvpqaic_00_setup_p0.js risk_line_text if (rowsToAppend.length) sheet.getRange(sheet.getLastRow()+1,1,rowsToAppend.length,4).setValues(rowsToAppend); Review required before cleanup/delete."
RISK_HIT,mvpqaic_00_setup_p0.js,SETUP_FOUNDATION,,,OTHER,P2,"SETUP_FOUNDATION mvpqaic_00_setup_p0.js risk_line_text if (data[r][0] === key) { sheet.getRange(r+1,2).setValue(value); sheet.getRange(r+1,4).setValue(new Date().toISOString()); return; } Review required before cleanup/delete."
FUNCTION_INDEX,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,MVPQAIC_ExplainDecision,PUBLIC,DECISION_JOURNAL,P0,KNOWLEDGE_SEARCH mvpqaic_01_knowledge_engine.js MVPQAIC_ExplainDecision function_line 46
RISK_HIT,mvpqaic_03_import_csv_seeds.js,IMPORT_SEEDS,,,INGESTION_INTAKE,P1,IMPORT_SEEDS mvpqaic_03_import_csv_seeds.js risk_line_text const folder = DriveApp.getFolderById(resolvedFolderId); Review required before cleanup/delete.
RISK_HIT,mvpqaic_03_import_csv_seeds.js,IMPORT_SEEDS,,,INGESTION_INTAKE,P1,IMPORT_SEEDS mvpqaic_03_import_csv_seeds.js risk_line_text sheet.clearContents(); Review required before cleanup/delete.
RISK_HIT,mvpqaic_03_import_csv_seeds.js,IMPORT_SEEDS,,,INGESTION_INTAKE,P1,"IMPORT_SEEDS mvpqaic_03_import_csv_seeds.js risk_line_text sheet.getRange(1,1,output.length,spec.headers.length).setValues(output); Review required before cleanup/delete."
FUNCTION_INDEX,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,MVPQAIC_GetPrompt,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_04_p0b2_expansion.js MVPQAIC_GetPrompt function_line 339
RISK_HIT,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,,,OTHER,P2,QAIC_BRIDGE mvpqaic_04_p0b2_expansion.js risk_line_text * - No BigQuery / Cloud Run. Review required before cleanup/delete.
RISK_HIT,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,,,OTHER,P2,QAIC_BRIDGE mvpqaic_04_p0b2_expansion.js risk_line_text var folder = DriveApp.getFolderById(resolvedFolderId); Review required before cleanup/delete.
RISK_HIT,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,,,OTHER,P2,QAIC_BRIDGE mvpqaic_04_p0b2_expansion.js risk_line_text * - Avoids row-by-row setValues calls. Review required before cleanup/delete.
RISK_HIT,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,,,OTHER,P2,QAIC_BRIDGE mvpqaic_04_p0b2_expansion.js risk_line_text sheet.clearContents(); Review required before cleanup/delete.
RISK_HIT,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_04_p0b2_expansion.js risk_line_text sheet.getRange(1, 1, output.length, spec.headers.length).setValues(output); Review required before cleanup/delete."
RISK_HIT,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_04_p0b2_expansion.js risk_line_text sheet.getRange(1, 1, 1, 4).setValues([['key', 'value', 'description', 'updated_at']]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_04_p0b2_expansion.js risk_line_text sheet.getRange(r + 1, 2, 1, 3).setValues([[value, description || '', new Date().toISOString()]]); Review required before cleanup/delete."
FUNCTION_INDEX,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,MVPQAIC_GetDecisionMatrix,PUBLIC,DECISION_JOURNAL,P0,QAIC_BRIDGE mvpqaic_05_p0b3_institutional_readiness.js MVPQAIC_GetDecisionMatrix function_line 350
FUNCTION_INDEX,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,MVPQAIC_GetGPTBridge,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_05_p0b3_institutional_readiness.js MVPQAIC_GetGPTBridge function_line 360
RISK_HIT,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,,,OTHER,P2,QAIC_BRIDGE mvpqaic_05_p0b3_institutional_readiness.js risk_line_text * - No BigQuery / Cloud Run. Review required before cleanup/delete.
RISK_HIT,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,,,OTHER,P2,QAIC_BRIDGE mvpqaic_05_p0b3_institutional_readiness.js risk_line_text sheet.clearContents(); Review required before cleanup/delete.
RISK_HIT,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_05_p0b3_institutional_readiness.js risk_line_text sheet.getRange(1, 1, output.length, spec.headers.length).setValues(output); Review required before cleanup/delete."
RISK_HIT,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,,,OTHER,P2,QAIC_BRIDGE mvpqaic_05_p0b3_institutional_readiness.js risk_line_text return DriveApp.getFolderById(String(folderId).trim()); Review required before cleanup/delete.
RISK_HIT,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,,,OTHER,P2,QAIC_BRIDGE mvpqaic_05_p0b3_institutional_readiness.js risk_line_text return DriveApp.getFolderById(String(fromConfig).trim()); Review required before cleanup/delete.
RISK_HIT,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,,,OTHER,P2,QAIC_BRIDGE mvpqaic_05_p0b3_institutional_readiness.js risk_line_text var folders = DriveApp.getFoldersByName(folderName); Review required before cleanup/delete.
RISK_HIT,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_05_p0b3_institutional_readiness.js risk_line_text sheet.getRange(1, 1, 1, 4).setValues([['key', 'value', 'description', 'updated_at']]); Review required before cleanup/delete."
RISK_HIT,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,,,OTHER,P2,"QAIC_BRIDGE mvpqaic_05_p0b3_institutional_readiness.js risk_line_text sheet.getRange(r + 1, 2, 1, 3).setValues([[value, description || '', new Date().toISOString()]]); Review required before cleanup/delete."
SCRIPT_INVENTORY,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,,,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_ExtendSpecs_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_ExtendSpecs_P0B4_ function_line 44
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_Setup_P0B4,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_Setup_P0B4 function_line 121
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_Import_P0B4_CSVs,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_Import_P0B4_CSVs function_line 153
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_RunImportP0B4,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_RunImportP0B4 function_line 190
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_RunImportP0B4_DefaultFolder,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_RunImportP0B4_DefaultFolder function_line 194
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_Install_P0B4,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_Install_P0B4 function_line 198
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildPortfolioPrompt,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildPortfolioPrompt function_line 211
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildMarketPrompt,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildMarketPrompt function_line 215
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildBuyPrompt,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildBuyPrompt function_line 219
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildVolatilePrompt,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildVolatilePrompt function_line 223
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildFullReviewPrompt,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildFullReviewPrompt function_line 227
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildGPTPayload,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildGPTPayload function_line 237
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_P0B4_Status,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_P0B4_Status function_line 377
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_UpsertSingleCsv_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_UpsertSingleCsv_P0B4_ function_line 409
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildPortfolioSnapshotSection_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildPortfolioSnapshotSection_P0B4_ function_line 492
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildRevolutXStatusSection_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildRevolutXStatusSection_P0B4_ function_line 541
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildQAICBridgeStatusSection_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildQAICBridgeStatusSection_P0B4_ function_line 560
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildDecisionMatrixSection_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildDecisionMatrixSection_P0B4_ function_line 583
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildSignalRulesSection_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildSignalRulesSection_P0B4_ function_line 605
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildScoringModelSection_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildScoringModelSection_P0B4_ function_line 629
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildDataRequirementsSection_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildDataRequirementsSection_P0B4_ function_line 675
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_BuildQAICOutputContractSection_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_BuildQAICOutputContractSection_P0B4_ function_line 686
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_Format_All_P0B4,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_Format_All_P0B4 function_line 708
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_ResolveP0B4CsvFolder_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_ResolveP0B4CsvFolder_ function_line 719
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_FolderHasExpectedFiles_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_FolderHasExpectedFiles_P0B4_ function_line 750
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_AppendObject_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_AppendObject_P0B4_ function_line 764
FUNCTION_INDEX,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,MVPQAIC_FindRowByField_P0B4_,PUBLIC,PROMPT_OR_AI,P0,QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js MVPQAIC_FindRowByField_P0B4_ function_line 780
