source_file,source_row,source_kind,name,score,matched_keywords,summary
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1936,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,210,prompt|gpt|review|decision|risk|journal,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text .setValue('🧾 DECISION_JOURNAL — Journal officiel qualité, revue humaine & sécurité MVP QAIC') Review required before"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1938,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,210,prompt|gpt|review|human|decision|risk,record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text .setValue('Lecture prioritaire : human_final_decision et validation_status visibles juste après les colonnes figées 
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1940,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,205,prompt|gpt|review|human|risk,record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text .setValue('Garde-fous actifs : HUMAN_REVIEW_ONLY · NO_AUTO_ORDER · NO_AUTO_SIZING · NO_BROKER_EXECUTION · NO_REAL_OR
P165_R3_PROMPT_ENGINE_RECOVERY.csv,60,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|revolut,record_type=RISK_HIT | script_file_name=mvpqaic_06_p0b4_gpt_revolutx_bridge.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js risk_line_text * - No BigQuery / Cloud Run write. Review required before cleanup/delete.
P165_R3_PROMPT_ENGINE_RECOVERY.csv,61,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|revolut,record_type=RISK_HIT | script_file_name=mvpqaic_06_p0b4_gpt_revolutx_bridge.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js risk_line_text sheet.clearContents(); Review required before cleanup/delete.
P165_R3_PROMPT_ENGINE_RECOVERY.csv,62,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|revolut,"record_type=RISK_HIT | script_file_name=mvpqaic_06_p0b4_gpt_revolutx_bridge.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js risk_line_text sheet.getRange(1, 1, output.length, spec.headers.length).setValues(output); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,63,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|revolut,record_type=RISK_HIT | script_file_name=mvpqaic_06_p0b4_gpt_revolutx_bridge.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js risk_line_text return DriveApp.getFolderById(String(folderId).trim()); Review required before cleanup/delete.
P165_R3_PROMPT_ENGINE_RECOVERY.csv,64,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|revolut,record_type=RISK_HIT | script_file_name=mvpqaic_06_p0b4_gpt_revolutx_bridge.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js risk_line_text return DriveApp.getFolderById(String(fromConfig).trim()); Review required before cleanup/delete.
P165_R3_PROMPT_ENGINE_RECOVERY.csv,65,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|revolut,record_type=RISK_HIT | script_file_name=mvpqaic_06_p0b4_gpt_revolutx_bridge.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js risk_line_text return DriveApp.getFolderById(String(MVPQAIC_P0B4_DEFAULT_CSV_FOLDER_ID).trim()); Review required before cleanup/del
P165_R3_PROMPT_ENGINE_RECOVERY.csv,66,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,200,prompt|gpt|review|risk|revolut,record_type=RISK_HIT | script_file_name=mvpqaic_06_p0b4_gpt_revolutx_bridge.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_06_p0b4_gpt_revolutx_bridge.js risk_line_text var folders = DriveApp.getFoldersByName(folderName); Review required before cleanup/delete.
