artifact_id,artifact_type,name,source_path,migration_status,migration_percent,next_action
apps-script-file-admin-monitor-html,APPS_SCRIPT_FILE,ADMIN_MONITOR.html,05_EXPORTS/P107_R1_CANONICAL_WEBAPP_BINDING_ADMIN_20260622_105702/CANONICAL_BINDING_PACK/admin/ADMIN_MONITOR.html,DISCOVERED,25,MAP_TO_PYTHON_OR_ARCHIVE
apps-script-file-p134-nicegui-prompt-cockpit-static-preview-html,APPS_SCRIPT_FILE,P134_NICEGUI_PROMPT_COCKPIT_STATIC_PREVIEW.html,05_EXPORTS/P134_NICEGUI_PROMPT_COCKPIT_LOCAL_PRIVATE_20260622_190757/P134_NICEGUI_PROMPT_COCKPIT_STATIC_PREVIEW.html,DISCOVERED,25,MAP_TO_PYTHON_OR_ARCHIVE
apps-script-file-p134-nicegui-prompt-cockpit-static-preview-html,APPS_SCRIPT_FILE,P134_NICEGUI_PROMPT_COCKPIT_STATIC_PREVIEW.html,05_EXPORTS/P134A_NICEGUI_ROOT_PAGE_LAUNCH_FIX_20260622_193558/P134_NICEGUI_PROMPT_COCKPIT_STATIC_PREVIEW.html,DISCOVERED,25,MAP_TO_PYTHON_OR_ARCHIVE
apps-script-file-p134-nicegui-prompt-cockpit-static-preview-html,APPS_SCRIPT_FILE,P134_NICEGUI_PROMPT_COCKPIT_STATIC_PREVIEW.html,05_EXPORTS/P135_R2_NICEGUI_OPERATOR_POLISH_COMPAT_FIX_20260622_195252/P134_NICEGUI_PROMPT_COCKPIT_STATIC_PREVIEW.html,DISCOVERED,25,MAP_TO_PYTHON_OR_ARCHIVE
apps-script-file-p134-nicegui-prompt-cockpit-static-preview-html,APPS_SCRIPT_FILE,P134_NICEGUI_PROMPT_COCKPIT_STATIC_PREVIEW.html,05_EXPORTS/P135B_R3_NICEGUI_UI_RENDER_POLISH_MARKER_FIX_20260622_202343/P134_NICEGUI_PROMPT_COCKPIT_STATIC_PREVIEW.html,DISCOVERED,25,MAP_TO_PYTHON_OR_ARCHIVE
apps-script-file-p140-static-preview-html,APPS_SCRIPT_FILE,P140_STATIC_PREVIEW.html,05_EXPORTS/P140_NICEGUI_COCKPIT_REPLICA_RENDERER_20260623_120204/P140_STATIC_PREVIEW.html,DISCOVERED,25,MAP_TO_PYTHON_OR_ARCHIVE
apps-script-file-p172-private-cockpit-preview-html,APPS_SCRIPT_FILE,P172_PRIVATE_COCKPIT_PREVIEW.html,05_EXPORTS/P172_NICEGUI_PRIVATE_COCKPIT_RENDER_20260624_081937/P172_PRIVATE_COCKPIT_PREVIEW.html,DISCOVERED,25,MAP_TO_PYTHON_OR_ARCHIVE
apps-script-file-index-html,APPS_SCRIPT_FILE,index.html,05_EXPORTS/P106_WEBAPP_STATIC_PREVIEW_DATA_EXPORT_20260622_103845/STATIC_PREVIEW/index.html,DISCOVERED,25,MAP_TO_PYTHON_OR_ARCHIVE
nicegui-route,NICEGUI_ROUTE,/,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_VISIBLE
nicegui-route-capture,NICEGUI_ROUTE,/capture,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_VISIBLE
nicegui-route-migration,NICEGUI_ROUTE,/migration,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_VISIBLE
nicegui-route-prompt,NICEGUI_ROUTE,/prompt,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_VISIBLE
nicegui-route-real-case,NICEGUI_ROUTE,/real-case,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_VISIBLE
nicegui-route-responses,NICEGUI_ROUTE,/responses,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_VISIBLE
nicegui-route-review,NICEGUI_ROUTE,/review,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_VISIBLE
nicegui-route-roundtrip,NICEGUI_ROUTE,/roundtrip,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_VISIBLE
nicegui-route-sessions,NICEGUI_ROUTE,/sessions,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_VISIBLE
nicegui-route-cache,NICEGUI_ROUTE,/cache,mvp_qaic_py/p173_nicegui_private_local_runner.py,RUNTIME_SMOKED,85,KEEP_VISIBLE
nicegui-route-favicon-ico,NICEGUI_ROUTE,/favicon.ico,mvp_qaic_py/p173_nicegui_private_local_runner.py,RUNTIME_SMOKED,85,KEEP_VISIBLE
nicegui-route-journal,NICEGUI_ROUTE,/journal,mvp_qaic_py/p173_nicegui_private_local_runner.py,RUNTIME_SMOKED,85,KEEP_VISIBLE
nicegui-route-lexique,NICEGUI_ROUTE,/lexique,mvp_qaic_py/p173_nicegui_private_local_runner.py,RUNTIME_SMOKED,85,KEEP_VISIBLE
py-function-p173-nicegui-private-local-runner-build-private-runner-config,PY_FUNCTION,p173_nicegui_private_local_runner.build_private_runner_config,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-cache,PY_FUNCTION,p173_nicegui_private_local_runner.cache,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-capture,PY_FUNCTION,p173_nicegui_private_local_runner.capture,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-export-private-runner-smoke,PY_FUNCTION,p173_nicegui_private_local_runner.export_private_runner_smoke,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-favicon,PY_FUNCTION,p173_nicegui_private_local_runner.favicon,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-home,PY_FUNCTION,p173_nicegui_private_local_runner.home,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-journal,PY_FUNCTION,p173_nicegui_private_local_runner.journal,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-lexique,PY_FUNCTION,p173_nicegui_private_local_runner.lexique,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-main,PY_FUNCTION,p173_nicegui_private_local_runner.main,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-migration,PY_FUNCTION,p173_nicegui_private_local_runner.migration,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-prompt,PY_FUNCTION,p173_nicegui_private_local_runner.prompt,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-real-case,PY_FUNCTION,p173_nicegui_private_local_runner.real_case,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-responses,PY_FUNCTION,p173_nicegui_private_local_runner.responses,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-review,PY_FUNCTION,p173_nicegui_private_local_runner.review,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-roundtrip,PY_FUNCTION,p173_nicegui_private_local_runner.roundtrip,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
py-function-p173-nicegui-private-local-runner-serve-private,PY_FUNCTION,p173_nicegui_private_local_runner.serve_private,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_TRACKING
