sheet_tab,runtime_layer,source_export,primary_key,required_columns,export_status,readiness_percent,write_policy,human_review_required,next_action
GEM_CAPTURE_INBOX,GEM_CAPTURE_INBOX,00_OPERATOR_EXPORTS/P181_CAPTURE_INBOX,capture_id,"capture_id,session_id,prompt_id,image_path,status,created_at,operator_notes",READY_FOR_READONLY_EXPORT,100,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,KEEP_CONTRACT_AND_OPTIONAL_EXPORT_TO_SHEETS_LATER
GEM_RESPONSE_INBOX,GEM_RESPONSE_INBOX,00_OPERATOR_EXPORTS/P181_GEM_RESPONSES,response_id,"response_id,session_id,prompt_id,response_path,parser_status,created_at",READY_FOR_READONLY_EXPORT,100,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,KEEP_CONTRACT_AND_OPTIONAL_EXPORT_TO_SHEETS_LATER
GEM_SESSION_LOG,GEM_SESSION_LOG,00_OPERATOR_EXPORTS/P181_SESSION_LOG,session_id,"session_id,capture_id,response_id,prompt_id,status,created_at,updated_at",READY_FOR_READONLY_EXPORT,100,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,KEEP_CONTRACT_AND_OPTIONAL_EXPORT_TO_SHEETS_LATER
GEM_ROUNDTRIP_STATUS,GEM_ROUNDTRIP,P193R_GEM_ROUNDTRIP_EVIDENCE.csv,evidence_id,"evidence_id,evidence_type,name,source_path,is_file,is_dir,size_bytes,modified_time_epoch",READY_WITH_REVIEW,85,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,REVIEW_CONTRACT_BEFORE_SHEETS_EXPORT
GEM_REVIEW_GATE,GEM_REVIEW_GATE,P187_REAL_MANUAL_CASE_GATE.json,gate_id,"gate_id,status,real_case_ready,blocker_count,blockers,next_action",READY_FOR_READONLY_EXPORT,100,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,KEEP_CONTRACT_AND_OPTIONAL_EXPORT_TO_SHEETS_LATER
GEM_REAL_CASE_DECISION,GEM_REAL_CASE_DECISION,P188_REAL_CASE_OPERATOR_DECISION_GATE.json,decision_gate_id,"decision_gate_id,decision_status,real_case_ready,blocker_count,next_action",READY_FOR_READONLY_EXPORT,100,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,KEEP_CONTRACT_AND_OPTIONAL_EXPORT_TO_SHEETS_LATER
GEM_DECISION_JOURNAL,GEM_DECISION_JOURNAL,P193R_GEM_DECISION_JOURNAL_EVIDENCE.csv,evidence_id,"evidence_id,evidence_type,name,source_path,is_file,is_dir,size_bytes,modified_time_epoch",NOT_READY,70,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,COMPLETE_RUNTIME_LAYER_FIRST
PROMPT_HISTORY_LIBRARY,PROMPT_HISTORY_LIBRARY,P182 prompt library export,prompt_id,"prompt_id,source_kind,status,sha12,version_label,created_at",READY_FOR_READONLY_EXPORT,100,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,KEEP_CONTRACT_AND_OPTIONAL_EXPORT_TO_SHEETS_LATER
PROMPT_MIGRATION_MATRIX,PROMPT_MIGRATION_MATRIX,P189H_PROMPT_MIGRATION_MATRIX.csv,prompt_id,"prompt_id,quality_score,risk_score,migration_decision,migration_reason",READY_FOR_READONLY_EXPORT,100,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,KEEP_CONTRACT_AND_OPTIONAL_EXPORT_TO_SHEETS_LATER
RUNTIME_MIGRATION_TRACKER,RUNTIME_MIGRATION_TRACKER,P190R_RUNTIME_ARTIFACTS.csv,artifact_id,"artifact_id,artifact_type,name,migration_status,migration_percent,next_action",READY_FOR_READONLY_EXPORT,100,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,KEEP_CONTRACT_AND_OPTIONAL_EXPORT_TO_SHEETS_LATER
GEM_TRACKING_BINDING_MATRIX,GEM_TRACKING_BINDING_MATRIX,P191R_GEM_TRACKING_BINDING_MATRIX.csv,layer_id,"layer_id,expected_sheet_tab,runtime_status,binding_percent,next_action",READY_FOR_READONLY_EXPORT,100,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,KEEP_CONTRACT_AND_OPTIONAL_EXPORT_TO_SHEETS_LATER
GEM_TRACKING_OPERATOR_VIEW,GEM_TRACKING_OPERATOR_VIEW,P192R_GEM_TRACKING_OPERATOR_VIEW.csv,layer_id,"priority,layer_id,operator_status,operator_action,evidence_summary",READY_FOR_READONLY_EXPORT,100,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,KEEP_CONTRACT_AND_OPTIONAL_EXPORT_TO_SHEETS_LATER
GEM_EVIDENCE_BINDING,GEM_EVIDENCE_BINDING,P193R_GEM_EVIDENCE_BINDING.csv,layer_id,"layer_id,evidence_status,evidence_count,evidence_percent,latest_evidence,next_action",READY_FOR_READONLY_EXPORT,100,READONLY_EXPORT_CONTRACT_NO_SHEET_WRITE,True,KEEP_CONTRACT_AND_OPTIONAL_EXPORT_TO_SHEETS_LATER
