"item_id","theme","relative_path","reason","integrated_in_final","archive_allowed"
"ITEM-000056","CDC_CONTRACT","05_EXPORTS\P59A4_PY_LIVE_SHEETS_API_DECISION_AND_CONTRACT_20260620\P59A4_PY_LIVE_SHEETS_API_DECISION_AND_CONTRACT.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-000771","CDC_CONTRACT","06_REPORTS\MVP_QAIC_P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-000773","CDC_CONTRACT","06_REPORTS\MVP_QAIC_P079_P2B_CONTRACT_FIELD_SELECTION_REVIEW_20260620_192723.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-001486","CDC_CONTRACT","01_DOCS\VALIDATION\P7C_APP_SCHEMA_CONTRACT_NO_APPLY_MAXI_20260616-131902.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-001490","CDC_CONTRACT","01_DOCS\VALIDATION\P8B_REVOLUT_X_QAIC_CONTRACT_PACK_NO_APPLY_20260616-152747.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-002949","CDC_CONTRACT","02_BUILD\LEXIQUE_READER_MVP\05_RELEASE\P24D_20260618_000512_FINAL_PRODUCT_V3_CONTRACT_BASELINE.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-003020","CDC_CONTRACT","02_BUILD\LEXIQUE_READER_MVP\05_RELEASE\P24D_20260618_000512\P24D_20260618_000512_FINAL_PRODUCT_V3_CONTRACT_BASELINE.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-003049","CDC_CONTRACT","02_BUILD\LEXIQUE_READER_MVP\08_PUBLICATION\P24D_20260618_000512_FINAL_PRODUCT_V3_CONTRACT_PUBLICATION_PACK_LOCAL_ONLY.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-003116","CDC_CONTRACT","02_BUILD\LEXIQUE_READER_MVP\08_PUBLICATION\P24D_20260618_000512\files\P24D_20260618_000512_FINAL_PRODUCT_V3_CONTRACT_BASELINE.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-003133","CDC_CONTRACT","02_BUILD\LEXIQUE_READER_MVP\08_PUBLICATION\P25A_20260618_002252\files\P24D_20260618_000512_FINAL_PRODUCT_V3_CONTRACT_BASELINE.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-004855","CDC_CONTRACT","03_EXPORTS\P50D_OUTPUT_CONTRACT_20260619_234723\P50D_PROMPT_OUTPUT_CONTRACT_REVIEW_20260619_234723.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-004958","CDC_CONTRACT","03_EXPORTS\P50F_HUMAN_REVIEW_PACK_20260619_235854\P50F_HUMAN_REVIEW_PACK_PROMPT_CONTRACTS_20260619_235854.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-005185","CDC_CONTRACT","03_EXPORTS\P51A_PROMPT_REVIEW_DECISION_20260620_004239\P51A_PROMPT_CONTRACT_HUMAN_REVIEW_DECISION_PACK_20260620_004239.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-005222","CDC_CONTRACT","03_EXPORTS\P51A2_AUTOFILL_DECISIONS_20260620_005747\P51A2_AUTOFILL_PROMPT_CONTRACT_DECISIONS_20260620_005747.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-005248","CDC_CONTRACT","03_EXPORTS\P51B_VALIDATE_DECISIONS_20260620_011301\P51B_VALIDATE_FILLED_PROMPT_CONTRACT_DECISIONS_20260620_011301.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-005397","CDC_CONTRACT","03_EXPORTS\P51E_SCRIPT_PATCH_SPEC_PACK_20260620_014912\P51E_SCRIPT_PATCH_SPEC_PACK_20260620_014912.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-005441","CDC_CONTRACT","03_EXPORTS\P51F_VALIDATE_SCRIPT_PATCH_SPEC_20260620_015531\P51F_VALIDATE_SCRIPT_PATCH_SPEC_PACK_20260620_015531.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-005495","CDC_CONTRACT","03_EXPORTS\P51F2_REPAIR_VALIDATE_SPEC_20260620_020405\P51F2_REPAIR_VALIDATE_SCRIPT_PATCH_SPEC_PACK_20260620_020405.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-007960","CDC_CONTRACT","P27A2A_UX_LOCK_CONTRACT_20260618\01_ZIP_RELEASE\MVP_QAIC_P27A2A_UX_LOCK_CONTRACT_PACK.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-002789","INSTRUCTIONS_GOVERNANCE","02_DELIVERABLES_ZIP\REFERENCE_DOCS_REAL_FULL_SOURCE_FUSION_0.7.2_20260620\ZIP\MVP_QAIC_INSTRUCTIONS_REAL_FULL_SOURCE_FUSION_PROCESS_SAFE_0.7.3_20260620-095223.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-002792","INSTRUCTIONS_GOVERNANCE","02_DELIVERABLES_ZIP\REFERENCE_DOCS_REAL_FULL_SOURCE_FUSION_0.7.2_20260620\PACK073\MVP_QAIC_PROCESS_GOVERNANCE_073.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-001491","PLANNING_ROADMAP","01_DOCS\VALIDATION\P8C_REVOLUT_X_SKELETON_PLAN_NO_APPLY_20260616-153551.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
"ITEM-001542","PLANNING_ROADMAP","01_DOCS\VALIDATION\P12J_EXP_PLAN_20260617-013209.zip","ZIP_REQUIRES_SEPARATE_INSPECTION","FALSE","NO"
