target_doc,source_path,size_bytes,sha256
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🧭 MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_v0.2.2.md,96420,60bc34e8569001f3cbb57e429d47db473cb0bd8e9ad37c03b5406aef915ef99f
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/INSTRUCTIONS/PROCESS_GOVERNANCE_073/INSTRUCTIONS_PROCESS_GOVERNANCE_BATCH_MAXI_FAST_FUSE_0.7.3.md,3874,8e7d905d8fe30c27a1b4181fbb2a5b10aa6473f77190415a520dffa23ac5bba3
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/INSTRUCTIONS/🚀 INSTRUCTIONS_PROJET_MVP_QAIC_0.6.2_REAL_FUSION_REPAIR.md,45827,72ec4515f24e63f8f836ecb32b62db4e4a8f3a60d441c589843f94ac28feb230
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/INSTRUCTIONS/🚀 INSTRUCTIONS_PROJET_MVP_QAIC_0.7.2_REAL_FULL_SOURCE_FUSION.md,49261,ab742f89522ecbb83137ea67d9f02fd4589bf5cf93918d706261dded4f466a95
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/drive_reconcile/R6_SELECTED_FINAL_DOCS/01_DOCS_ROOT/VERSION_COURTE_PROJET_CHATGPT_MVP_QAIC_0.5.0.md,3868,6e9992b29ad4249e5d8a0025f7b032c48f7ead13252bf80f56f8ca0905618447
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/00_ADMIN/BUTTON_FUNCTION_MAPPING_FINAL.md,949,203180852e28dc361b7b34ebe4c745d17a067d7f2b7f1ec043956b114cb5ef5f
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/00_ADMIN/CHANGELOG_MVP_QAIC_INSTRUCTIONS_0.4.9.md,678,a96ba42a55c6ac36f405457051fd60c310cde61eb17cad8f8ae5e2d14aa1ad12
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/00_ADMIN/CHANGELOG_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,305,ed706110e1011307523d5730ce0da32a2d82aed2c3ec9b4fec2becbeca3adb9f
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/00_ADMIN/MANIFEST_MVP_QAIC_INSTRUCTIONS_0.4.9.md,647,a45f7f9d0dc83c0d411b9a4ac3dec6f78be9883bfbeba29529be9e59b6e3feb2
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/00_ADMIN/README_MVP_QAIC_INSTRUCTIONS_0.4.9.md,935,335fa571e17b5727adca0f92384c796d80ac53db3e1182458fedffd912eb1bb8
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/INSTRUCTIONS/INSTRUCTIONS_UI_IMPERATIVE_MVP_QAIC_1.0.2.md,1733,babd2b74b1c0ab4d52fc83636b5ad7ee95692fdd27fce3f25812f63fe6c03f5f
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/INSTRUCTIONS/VERSION_COURTE_PROJET_CHATGPT_MVP_QAIC_0.4.9.md,3338,7a503ef4967ae82870c9c2a143547ac3dbcf5a71b166c33975f4c3f8425f4694
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/MANIFEST/MANIFEST_MVP_QAIC_INSTRUCTIONS_0.5.0_UI_FULL_FUSION.md,1543,b0e8bb665825cf385b91a9a93239dc8ea75a5883fa4e39bd1281ce189325c07d
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_INSTRUCTIONS_0.5.0.md,633,17c6483dbf1bf3e371a49fab3dc7e906d5b0b5500296ac3cdb3c7b49f2f65bd1
MVP QAIC Instructions Governance Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_P2L_JOURNAL_UI_AND_INSTRUCTIONS_1.0.2_SAFE.md,722,8ec63bf3951f36704bac37e533b5f59d661af9515aab15384f85637e93896205
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧱 ARCHITECTURE_MVP_QAIC_LEXIQUE_FIRST_0.7.2_REAL_FULL_SOURCE_FUSION.md,8554,633070d246dbabb9a6f33cf21e1730957bfc1da600dbc32dc219f51f258d04b9
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧱 ARCHITECTURE_MVP_QAIC_LEXIQUE_FIRST_APPSHEET_QAIC_PYTHON_0.6.2.md,5112,13ccb01776ce5724ee020e4ee3f14d7c1be9c09dc7dddde1d00a319105d49706
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/CDC/MEMO_CDC_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,5564,6cc66445834a71163396238784e44f4f8a015ebf2c77e7c3c6f393c42e55e6a8
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/CDC/📘 CDC_MVP_QAIC_WEB_APP_LEXIQUE_FIRST_0.6.2_REAL_FUSION_REPAIR.md,27670,00f3d38c78243036b0c16a2fa37fcc5571cbc389282052ed2a27ffd55db83369
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/CDC/📘 CDC_MVP_QAIC_WEB_APP_LEXIQUE_FIRST_0.7.2_REAL_FULL_SOURCE_FUSION.md,31100,c5d63c4b023d7671edeb0a78ba0e0792ef30f88098b2c3f11b6b2971ed593db2
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/📘 MVP_QAIC_CDC_CONTRACT_FINAL_FUSED_v0.2.2.md,113936,aaeee5f4bc5685d2e62e3bb1aff6de7fa1ae64c87400b7984b67d2e1bf935506
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧠 DECISION_JOURNAL_USAGE_AND_PROMPT_IMPROVEMENT_LOOP_0.4.6.md,1183,c43d2c50957cece35599f738707762a200729e5d1cf85408a9753c05ae2b5b52
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/CDC/MEMO_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,9525,c0c350b16cdf790491c2ba3c812fa29e9ba42261aab2178f99bd3c9ecfeefcc4
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/MANIFEST/manifest_MVPQAIC_REFERENCE_DOCS_0.6.2_REAL_FUSION_REPAIR.json,2404,e59413d199de9b63f9f00c74ee3a8eea8327c70eb56cf9569205aa65086936a7
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/PLANNING/🗓️ PLANNING_MVP_QAIC_WEB_APP_TRANSITION_QAIC_0.6.2_REAL_FUSION_REPAIR.md,26933,6904e0a495e1789faa9d582e726f401eccc3e6cbf630279768e805a92ba94630
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/PLANNING/🗓️ PLANNING_MVP_QAIC_WEB_APP_TRANSITION_QAIC_0.7.2_REAL_FULL_SOURCE_FUSION.md,30379,8aae0ef0fba8e5e1b3a4c7a33ad83e2b00bce0ae7ee7e733a6b71f57edf7dd02
MVP QAIC CDC Contract Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P1G_PROMPT_LIBRARY_CONTRACT_0.6.0.md,2066,46a126ba79aaa33189a737fdcac9396047231fe129406bfedab1fdaabc5bbdcb
