"item_id","root_id","relative_path","filename","doc_class","proposed_action","legitimacy_status","freshness_status","archive_allowed"
"ITEM-000003","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\01_CDC\_CDC_MVP_QAIC_PYTHON_MIGRATION_0.1.0.md","_CDC_MVP_QAIC_PYTHON_MIGRATION_0.1.0.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-000004","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\01_CDC\📘_CDC_MVP_QAIC_PYTHON_MIGRATION_0.1.0.md","📘_CDC_MVP_QAIC_PYTHON_MIGRATION_0.1.0.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-000017","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\CDC\CDC_MVP_QAIC_OPERATIONAL_ROADMAP.md","CDC_MVP_QAIC_OPERATIONAL_ROADMAP.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-000018","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\CDC\📘 CDC_MVP_QAIC_OPERATIONAL_ROADMAP.md","📘 CDC_MVP_QAIC_OPERATIONAL_ROADMAP.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-000042","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\P078C_CONTRACT_PLANNING_MATRIX.csv","P078C_CONTRACT_PLANNING_MATRIX.csv","EVIDENCE_EXPORT_RESIDUAL","CHECK_INTEGRATION_THEN_ARCHIVE","REVIEW_FOR_INTEGRATION_OR_ARCHIVE","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-000043","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\P078C_DOMAIN_SUMMARY.csv","P078C_DOMAIN_SUMMARY.csv","EVIDENCE_EXPORT_RESIDUAL","CHECK_INTEGRATION_THEN_ARCHIVE","REVIEW_FOR_INTEGRATION_OR_ARCHIVE","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-000044","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\P078C_PRIORITY_SUMMARY.csv","P078C_PRIORITY_SUMMARY.csv","EVIDENCE_EXPORT_RESIDUAL","CHECK_INTEGRATION_THEN_ARCHIVE","REVIEW_FOR_INTEGRATION_OR_ARCHIVE","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-000045","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\P078C_P2B_NEXT_CONTRACT_SELECTION_QUEUE.csv","P078C_P2B_NEXT_CONTRACT_SELECTION_QUEUE.csv","EVIDENCE_EXPORT_RESIDUAL","CHECK_INTEGRATION_THEN_ARCHIVE","REVIEW_FOR_INTEGRATION_OR_ARCHIVE","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-000046","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\P078C_P2_DATA_CONTRACTS_PLANNING_REPORT.md","P078C_P2_DATA_CONTRACTS_PLANNING_REPORT.md","EVIDENCE_EXPORT_RESIDUAL","CHECK_INTEGRATION_THEN_ARCHIVE","REVIEW_FOR_INTEGRATION_OR_ARCHIVE","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-000047","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\MANIFEST_P078C.json","MANIFEST_P078C.json","EVIDENCE_EXPORT_RESIDUAL","CHECK_INTEGRATION_THEN_ARCHIVE","REVIEW_FOR_INTEGRATION_OR_ARCHIVE","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
