"item_id","root_id","relative_path","theme","doc_class","canonical_target","proposed_action","output_allowed_here","integrated_in_final","archive_allowed"
"ITEM-000001","ROOT_01_MVP_QAIC_PY_DRIVE","README.md","NOTICE_RUNBOOK","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000002","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\00_REFERENCE\README_MVP_QAIC_PY_REFERENCE.md","NOTICE_RUNBOOK","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000003","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\01_CDC\_CDC_MVP_QAIC_PYTHON_MIGRATION_0.1.0.md","CDC_CONTRACT","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000004","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\01_CDC\📘_CDC_MVP_QAIC_PYTHON_MIGRATION_0.1.0.md","CDC_CONTRACT","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000005","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\02_ARCHITECTURE\_ARCHITECTURE_MVP_QAIC_PYTHON_TARGET_0.1.0.md","ARCHITECTURE_MIGRATION","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000006","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\02_ARCHITECTURE\🧱_ARCHITECTURE_MVP_QAIC_PYTHON_TARGET_0.1.0.md","ARCHITECTURE_MIGRATION","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000007","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\03_MIGRATION\_PROCEDURE_MIGRATION_MVP_QAIC_VERS_PYTHON_0.1.0.md","ARCHITECTURE_MIGRATION","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000008","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\03_MIGRATION\_MAPPING_APPS_SCRIPT_TO_PYTHON_MODULES_0.1.0.md","ARCHITECTURE_MIGRATION","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000009","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\03_MIGRATION\🐍_PROCEDURE_MIGRATION_MVP_QAIC_VERS_PYTHON_0.1.0.md","ARCHITECTURE_MIGRATION","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000010","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\03_MIGRATION\🧭_MAPPING_APPS_SCRIPT_TO_PYTHON_MODULES_0.1.0.md","ARCHITECTURE_MIGRATION","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
