"import_batch_id","imported_at","exported_at","record_type","project_name","apps_script_id","script_id","script_file_name","module_family","detected_version","function_name","function_visibility","function_prefix","line_number","dependency_type","dependency_target","severity","security_flag","file_path","file_size_bytes","line_count","char_count","hash_sha256","public_function_count","internal_function_count","total_function_count","risk_hit_count","has_mvpqaic_reference","has_network_logic","has_bigquery_logic","has_drive_logic","has_properties_logic","has_trigger_logic","has_delete_or_clear_risk","calls_spreadsheet","calls_urlfetch","calls_bigquery","calls_trigger","calls_properties","calls_drive","writes_sheet_likely","network_flags","bigquery_flags","ingestion_flags","trigger_flags","secret_flags","drive_flags","raw_key","raw_value","notes","created_at","updated_at"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","EXPORT_SUMMARY","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","","","EXPORT","","","","","","","","INFO","","G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\02_SHEETS\EXPORTS_CSV\RUN-20260620-120040\APPS_SCRIPT_PULL_FRESH","","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","run_dir","G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\02_SHEETS\EXPORTS_CSV\RUN-20260620-120040","VALID fresh CLASP pull/export. Reauth integrated. No clasp push. No clone. No broker/order/sizing/secret.","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","SCRIPT_INVENTORY","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","appsscript","appsscript.json","MANIFEST","","","","","","","","LOW","","appsscript.json","347","18","347","23432d6f4f86790f1ff4370b7e243c263b72bb2db14c380a293eb06e1c6aba57","0","0","0","0","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","","","","","","","","","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","SCRIPT_INVENTORY","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_00_setup_p0","mvpqaic_00_setup_p0.js","SETUP_FOUNDATION","MVP_QAIC_APPS_SCRIPT_P0B_0.2.2","","","","","","","HIGH","","mvpqaic_00_setup_p0.js","8054","125","8017","ca8ed7286b72541d6c2d199ad1855d2dea2d3fdfc10965b2d5ac27ef696e1abc","7","1","8","4","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","","","","","secret/token keyword detected","","","","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_00_setup_p0","mvpqaic_00_setup_p0.js","SETUP_FOUNDATION","MVP_QAIC_APPS_SCRIPT_P0B_0.2.2","onOpen","INTERNAL","","34","","","INFO","","mvpqaic_00_setup_p0.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","34","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_00_setup_p0","mvpqaic_00_setup_p0.js","SETUP_FOUNDATION","MVP_QAIC_APPS_SCRIPT_P0B_0.2.2","MVPQAIC_Setup_P0","PUBLIC","MVPQAIC","46","","","INFO","","mvpqaic_00_setup_p0.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","46","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_00_setup_p0","mvpqaic_00_setup_p0.js","SETUP_FOUNDATION","MVP_QAIC_APPS_SCRIPT_P0B_0.2.2","MVPQAIC_Status_P0","PUBLIC","MVPQAIC","69","","","INFO","","mvpqaic_00_setup_p0.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","69","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_00_setup_p0","mvpqaic_00_setup_p0.js","SETUP_FOUNDATION","MVP_QAIC_APPS_SCRIPT_P0B_0.2.2","MVPQAIC_GetOrCreateSheet_","PUBLIC","MVPQAIC","86","","","INFO","","mvpqaic_00_setup_p0.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","86","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_00_setup_p0","mvpqaic_00_setup_p0.js","SETUP_FOUNDATION","MVP_QAIC_APPS_SCRIPT_P0B_0.2.2","MVPQAIC_EnsureHeaders_","PUBLIC","MVPQAIC","92","","","INFO","","mvpqaic_00_setup_p0.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","92","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_00_setup_p0","mvpqaic_00_setup_p0.js","SETUP_FOUNDATION","MVP_QAIC_APPS_SCRIPT_P0B_0.2.2","MVPQAIC_SeedConfig_","PUBLIC","MVPQAIC","100","","","INFO","","mvpqaic_00_setup_p0.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","100","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
"RUN-20260620-120040","","2026-06-20T12:01:31.7366590+02:00","FUNCTION_INDEX","MVP_QAIC_CRYPTO_SIGNAL_OS","1OnXtyDAAiQI1_1mkX3AbLiJfRHfWhXdSoi1xwjMpKbrZzqSwWHvbQfIB","mvpqaic_00_setup_p0","mvpqaic_00_setup_p0.js","SETUP_FOUNDATION","MVP_QAIC_APPS_SCRIPT_P0B_0.2.2","MVPQAIC_SetConfigValue_","PUBLIC","MVPQAIC","109","","","INFO","","mvpqaic_00_setup_p0.js","","","","","","","","","","","","","","","","","","","","","","","","","","","","","function_line","109","","2026-06-20T12:01:31.7366590+02:00","2026-06-20T12:01:31.7366590+02:00"
