superseded_file,superseded_by,action
docs/FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/📘 MVP_QAIC_CDC_CONTRACT_FINAL_FUSED_v0.2.2.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
docs/FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🚀 MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_v0.2.2.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
docs/FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🧭 MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_v0.2.2.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
docs/FINAL/MVP_QAIC_DOCS_FINAL_FUSED.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
docs/FINAL/🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_v0.2.2.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
docs/FINAL/💎 MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.2.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
docs/FINAL/📊 MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_v0.2.2.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
docs/FINAL/📘 MVP_QAIC_CDC_CONTRACT_FINAL_FUSED_v0.2.3.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
docs/FINAL/🗺️ MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_v0.2.2.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
docs/FINAL/🚀 MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_v0.2.3.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
docs/FINAL/🧭 MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_v0.2.5.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
docs/FINAL/🧱 MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_v0.2.2.md,docs/FINAL/REFERENCE_v0.2.6/,MARK_ONLY_PRESERVE_FILE
