name,required,ok,detail
repo_exists,TRUE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY
source_root_exists,TRUE,TRUE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS
inside_work_tree,TRUE,TRUE,true
branch_master,TRUE,TRUE,master
repo_status_before_allowed_known_ui_drift_plus_failed_r14_reports,TRUE,TRUE,"M  mvp_qaic_reflex_ui/mvp_qaic_reflex_ui.py
D  mvp_qaic_reflex_ui/restored_initial_render.py
?? docs/drive_reconcile/R14_REPORTS/"
ui_drift_recovered_to_head,TRUE,TRUE,"?? docs/drive_reconcile/R14D_REPORTS/
?? docs/drive_reconcile/R14_REPORTS/"
root_desktop_ini_absent_after_move,TRUE,TRUE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\desktop.ini
required_tag_present::mvp-qaic-docs-cleanup-final-reference-fusion-r10-r11-20260630,TRUE,TRUE,a46f019f343d53bca6f4888bf3efccb20b3d5287
required_tag_present::mvp-qaic-docs-final-reference-verify-superseded-mark-r12-20260630,TRUE,TRUE,7cac649c212f288d9f67558b44f2d611ef947fc8
required_tag_present::mvp-qaic-docs-final-reference-r12b-dirty-carryover-audit-20260630,TRUE,TRUE,eb7146fafe2b2720db7cbcf9942ab099c3d1a46b
required_tag_present::mvp-qaic-r13-ui-dirty-carryover-finalize-20260630,TRUE,TRUE,4f6e1afbca333dcf35c583301410a87560924195
required_tag_present::mvp-qaic-r13b-clean-r13-report-desktop-ini-noise-20260630,TRUE,TRUE,8ebd85154bf4518655dcd53fbdf434ce4c2ea0b1
reference_dir_exists,TRUE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\REFERENCE_v0.2.6
final_reference_file::MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_v0.2.6.md,TRUE,TRUE,bytes=215166
final_reference_file::MVP_QAIC_CDC_CONTRACT_FINAL_FUSED_v0.2.6.md,TRUE,TRUE,bytes=268296
final_reference_file::MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_v0.2.6.md,TRUE,TRUE,bytes=168291
final_reference_file::MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.6.md,TRUE,TRUE,bytes=35993
final_reference_file::MVP_QAIC_LEXIQUE_REFERENCE_FINAL_FUSED_v0.2.6.md,TRUE,TRUE,bytes=153222
final_reference_file::MVP_QAIC_WEB_ARCHITECTURE_UI_PROCESS_FINAL_FUSED_v0.2.6.md,TRUE,TRUE,bytes=146964
final_reference_file::REFERENCE_SOURCES_MANIFEST_v0.2.6.csv,TRUE,TRUE,bytes=22722
final_reference_file::REFERENCE_v0.2.6_FINAL_SEAL.md,TRUE,TRUE,bytes=629
current_reference_index_exists,TRUE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\CURRENT_REFERENCE_INDEX.md
superseded_reference_index_exists,TRUE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\SUPERSEDED_REFERENCE_INDEX.md
current_index_points_to_v026,TRUE,TRUE,REFERENCE_v0.2.6 marker
no_tracked_desktop_ini,TRUE,TRUE,
no_remaining_processed_loose_archive_files_in_source_root,TRUE,TRUE,
r9_archive_exists,TRUE,TRUE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R9_EXTERNAL_RANGEMENT_ARCHIVE_CANDIDATES_20260630
r10_archive_exists,TRUE,TRUE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R10_LOOSE_ROOT_FILES_AND_ZIPS_20260630_200005
r14d_archive_exists_or_desktop_already_absent,TRUE,TRUE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES\R14D_ROOT_DESKTOP_INI_NOISE_20260630_210949
