name,kind,suffix,size,path
00_ADMIN,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\00_ADMIN
01_DOCS,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS
02_SHEETS,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\02_SHEETS
03_APPS_SCRIPT,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_APPS_SCRIPT
04_APPSHEET,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\04_APPSHEET
05_LOOKER,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\05_LOOKER
06_STITCH,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\06_STITCH
07_ANTIGRAVITY,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\07_ANTIGRAVITY
08_QAIC_BRIDGE,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\08_QAIC_BRIDGE
09_WEB_APP_IDE,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\09_WEB_APP_IDE
99_ARCHIVES,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES
desktop.ini,FILE,.ini,246,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\desktop.ini
MVP_QAIC_DEV_MEMO_COMPACT_20260618_165146.gdoc,FILE,.gdoc,195,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\MVP_QAIC_DEV_MEMO_COMPACT_20260618_165146.gdoc
source,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source
🛠️ MVP QAIC — Crypto Signal OS — DEV.gsheet,FILE,.gsheet,195,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\🛠️ MVP QAIC — Crypto Signal OS — DEV.gsheet
🧭 MVP_QAIC_FINAL_DOCS_FUSION_REFLEX_UI_PROCESS_R16E.md.gdoc,FILE,.gdoc,195,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\🧭 MVP_QAIC_FINAL_DOCS_FUSION_REFLEX_UI_PROCESS_R16E.md.gdoc
🧭 R16E — FUSION MAJ Docs Finales CDC Archi Web Instructions,DIR,,,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\🧭 R16E — FUSION MAJ Docs Finales CDC Archi Web Instructions
