path,name,kind,bytes,lines,sha256
docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630,99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630,dir,,,
docs/FINAL/CURRENT_REFERENCE_INDEX.md,CURRENT_REFERENCE_INDEX.md,file,1719,23,e1dfd8151bc6620e3a3b4d66c6e280f0698fb0e5be0df49c67b97721b944e8f7
docs/FINAL/fusion_inbox_R6,fusion_inbox_R6,dir,,,
docs/FINAL/fusion_inbox_R6/00_ADMIN,00_ADMIN,dir,,,
docs/FINAL/fusion_inbox_R6/00_ADMIN/BUTTON_FUNCTION_MAPPING_FINAL.md,BUTTON_FUNCTION_MAPPING_FINAL.md,file,968,20,8e1413590910f336bf140f7fab504bbbefaae24691d75dccb07606ef0d76dd71
docs/FINAL/fusion_inbox_R6/00_ADMIN/CHANGELOG_MVP_QAIC_INSTRUCTIONS_0.4.9.md,CHANGELOG_MVP_QAIC_INSTRUCTIONS_0.4.9.md,file,692,15,4a86fcc7799d33a6979220b0e8958a86a02180b9441f52412e737cc5408969e6
docs/FINAL/fusion_inbox_R6/00_ADMIN/CHANGELOG_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,CHANGELOG_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,file,312,8,68c48ce3d82ec93f00d63eecf7bcff9f9857914039de167b8834701777d2f50f
docs/FINAL/fusion_inbox_R6/00_ADMIN/MANIFEST_MVP_QAIC_INSTRUCTIONS_0.4.9.md,MANIFEST_MVP_QAIC_INSTRUCTIONS_0.4.9.md,file,672,26,4aa1512eed43deac05aba62a4857606944769f9b1e4520cbe53da145e1e32641
docs/FINAL/fusion_inbox_R6/00_ADMIN/README_MVP_QAIC_INSTRUCTIONS_0.4.9.md,README_MVP_QAIC_INSTRUCTIONS_0.4.9.md,file,976,42,5631a637945acf3100d961eec29852dc252875f9cd67e1ba07b769cb9e09979b
docs/FINAL/fusion_inbox_R6/ARCHITECTURE,ARCHITECTURE,dir,,,
docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧠 DECISION_JOURNAL_USAGE_AND_PROMPT_IMPROVEMENT_LOOP_0.4.6.md,🧠 DECISION_JOURNAL_USAGE_AND_PROMPT_IMPROVEMENT_LOOP_0.4.6.md,file,1259,77,49f2b7355465a38a17948ba62e1aa25de559c2f833c9dfe2c05677f307f462cf
docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧱 ARCHITECTURE_MVP_QAIC_LEXIQUE_FIRST_0.7.2_REAL_FULL_SOURCE_FUSION.md,🧱 ARCHITECTURE_MVP_QAIC_LEXIQUE_FIRST_0.7.2_REAL_FULL_SOURCE_FUSION.md,file,8800,247,76d36aec038e4d1c761cef5caa1b4b854dd328c34bebd3ad7952e2afee86e805
docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧱 ARCHITECTURE_MVP_QAIC_LEXIQUE_FIRST_APPSHEET_QAIC_PYTHON_0.6.2.md,🧱 ARCHITECTURE_MVP_QAIC_LEXIQUE_FIRST_APPSHEET_QAIC_PYTHON_0.6.2.md,file,5249,138,afc5b5d90b67b172dc2c265fa2ffad872715d9c363be87d3d613d9551a5c73d3
docs/FINAL/fusion_inbox_R6/CDC,CDC,dir,,,
docs/FINAL/fusion_inbox_R6/CDC/MEMO_CDC_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,MEMO_CDC_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,file,5786,223,aed894d7b104414cb26dd4e633eda0260a91f0dbffe37b394e3a4cb1804dd572
docs/FINAL/fusion_inbox_R6/CDC/MEMO_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,MEMO_MVP_QAIC_PHASE4_TO_FINAL_1.4.2.md,file,9966,442,b435bc07edad7f4d939142623dc5875a489c396bcf3c554312a77f24c5043c3c
docs/FINAL/fusion_inbox_R6/CDC/📘 CDC_MVP_QAIC_WEB_APP_LEXIQUE_FIRST_0.6.2_REAL_FUSION_REPAIR.md,📘 CDC_MVP_QAIC_WEB_APP_LEXIQUE_FIRST_0.6.2_REAL_FUSION_REPAIR.md,file,28498,829,8be25c6ce2ba2d43f793187000d2e53eba37ef98ca8566cdd4083bc124065b45
docs/FINAL/fusion_inbox_R6/CDC/📘 CDC_MVP_QAIC_WEB_APP_LEXIQUE_FIRST_0.7.2_REAL_FULL_SOURCE_FUSION.md,📘 CDC_MVP_QAIC_WEB_APP_LEXIQUE_FIRST_0.7.2_REAL_FULL_SOURCE_FUSION.md,file,32037,938,5553fa37b704c7748da54668206bbbaac78096f7c9a78dd9aa923bac0ffd4037
docs/FINAL/fusion_inbox_R6/FINAL_FUSED,FINAL_FUSED,dir,,,
docs/FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY,MVP_QAIC_PY,dir,,,
docs/FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/📘 MVP_QAIC_CDC_CONTRACT_FINAL_FUSED_v0.2.2.md,📘 MVP_QAIC_CDC_CONTRACT_FINAL_FUSED_v0.2.2.md,file,116077,2143,6ae690d5f51426f56b188b373b423d06e99ec53b04674c722d9135cdbd04082b
docs/FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🚀 MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_v0.2.2.md,🚀 MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_v0.2.2.md,file,99999,2917,add7fc5914465e83f7e8f63010d85fe849ebbef40de8ae9b203bb78574538102
docs/FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🧭 MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_v0.2.2.md,🧭 MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_v0.2.2.md,file,98191,1773,87c90dd145b1129b4c6c286132c0fbfadf2b782e51c16484c4031d333e0af7a4
docs/FINAL/fusion_inbox_R6/INSTRUCTIONS,INSTRUCTIONS,dir,,,
docs/FINAL/fusion_inbox_R6/INSTRUCTIONS/INSTRUCTIONS_UI_IMPERATIVE_MVP_QAIC_1.0.2.md,INSTRUCTIONS_UI_IMPERATIVE_MVP_QAIC_1.0.2.md,file,1768,36,e3d0e6a92bf32cce0ddfa7054e02e0e6f8a6ad71d8f604dd81e130d593ed835b
docs/FINAL/fusion_inbox_R6/INSTRUCTIONS/PROCESS_GOVERNANCE_073,PROCESS_GOVERNANCE_073,dir,,,
docs/FINAL/fusion_inbox_R6/INSTRUCTIONS/PROCESS_GOVERNANCE_073/INSTRUCTIONS_PROCESS_GOVERNANCE_BATCH_MAXI_FAST_FUSE_0.7.3.md,INSTRUCTIONS_PROCESS_GOVERNANCE_BATCH_MAXI_FAST_FUSE_0.7.3.md,file,4052,179,a1cf85644ea738dc236f7def58abe8bf5f4f0819ab40f5cfefe1034044560556
docs/FINAL/fusion_inbox_R6/INSTRUCTIONS/VERSION_COURTE_PROJET_CHATGPT_MVP_QAIC_0.4.9.md,VERSION_COURTE_PROJET_CHATGPT_MVP_QAIC_0.4.9.md,file,3364,27,4866cd6905da296f4233359b67d08442722872025b9f03c4c6d2c71d80edd316
docs/FINAL/fusion_inbox_R6/INSTRUCTIONS/🚀 INSTRUCTIONS_PROJET_MVP_QAIC_0.6.2_REAL_FUSION_REPAIR.md,🚀 INSTRUCTIONS_PROJET_MVP_QAIC_0.6.2_REAL_FUSION_REPAIR.md,file,47428,1602,0b4f4c3d05d990e2748d5767a1b85a10a3d4a6a9c98ce5bea713325c65679b8d
docs/FINAL/fusion_inbox_R6/INSTRUCTIONS/🚀 INSTRUCTIONS_PROJET_MVP_QAIC_0.7.2_REAL_FULL_SOURCE_FUSION.md,🚀 INSTRUCTIONS_PROJET_MVP_QAIC_0.7.2_REAL_FULL_SOURCE_FUSION.md,file,50971,1711,33c721369eec0b7adffe952ac4bff9d382df7b10b13a79731a4823d9d1ef597f
docs/FINAL/fusion_inbox_R6/LEXIQUE,LEXIQUE,dir,,,
docs/FINAL/fusion_inbox_R6/LEXIQUE/lexique_crypto_methodes_signaux_trading_pro_0.7.2_REAL_FULL_SOURCE_FUSION.md,lexique_crypto_methodes_signaux_trading_pro_0.7.2_REAL_FULL_SOURCE_FUSION.md,file,30228,1041,baf5a8cb7d31e830ff4702406c657416e19889271cd9e21150096a7c2277834e
docs/FINAL/fusion_inbox_R6/MANIFEST,MANIFEST,dir,,,
