check,detail,ok,required
repo_exists,C:\JRb_TRADING_OS\MVP_QAIC_PY,True,True
inside_work_tree,true,True,True
branch_master,master,True,True
r16_tag_present,e0664db7b73d273c9249ef0f8c240d2976d18d56,True,True
head_at_or_after_r16,head=e0664db7b73d273c9249ef0f8c240d2976d18d56 r16=e0664db7b73d273c9249ef0f8c240d2976d18d56,True,True
r16b_tag_not_required,not_present_ok,True,False
status_before_clean_or_allowed_ui_config_or_r16_report_residue, M docs/drive_reconcile/R16_REPORTS/R16_SUPPORTING_ASSETS_TAXONOMY_20260630_232917/R16_STATUS.json,True,True
source_blob_exists_in_parent_of_r16,mvp-qaic-r16-final-docs-support-assets-taxonomy-20260630^:docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/WEBAPP_ARCHITECTURE_CDC/CURRENT/MVP_QAIC_WEBAPP_ARCHITECTURE_CDC_v0_1_2_PRO_PACK_REPAIRED.zip,True,True
source_blob_nonempty,bytes=763148,True,True
new_path_exists_after_recovery,docs/FINAL/_SUPPORTING_ASSETS_REFERENCE_v0.2.6/WEBAPP_ARCHITECTURE_CDC/CURRENT/MVP_QAIC_WEBAPP_ARCHITECTURE_CDC_v0_1_2_PRO_PACK_REPAIRED.zip,True,True
new_path_sha_matches_source_blob,new=b3e0598fe66fc6ecad63628f57dc06ecca21dc7aa98ad9c1afc11110f5676379 old=b3e0598fe66fc6ecad63628f57dc06ecca21dc7aa98ad9c1afc11110f5676379,True,True
targeted_staging_only,,True,True
staged_nonempty,count=7,True,True
