name,type,path,size_bytes,mtime,recursive_file_count,recursive_dir_count,recursive_total_bytes,sha256_if_file
00_ADMIN,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\00_ADMIN,,2026-06-13T21:24:34,35,1,269371,
01_DOCS,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS,,2026-06-24T17:41:04,1477,249,122663084,
02_SHEETS,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\02_SHEETS,,2026-06-11T11:37:59,48,5,16498564,
03_APPS_SCRIPT,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_APPS_SCRIPT,,2026-06-14T02:12:41,140,26,6009501,
04_APPSHEET,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\04_APPSHEET,,2026-06-11T17:30:32,20,4,29270,
05_LOOKER,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\05_LOOKER,,2026-06-11T11:38:00,5,2,820,
06_STITCH,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\06_STITCH,,2026-06-11T13:13:17,25,13,10308,
07_ANTIGRAVITY,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\07_ANTIGRAVITY,,2026-06-11T11:38:00,21,7,105845,
08_QAIC_BRIDGE,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\08_QAIC_BRIDGE,,2026-06-11T17:13:23,19,3,19603,
09_WEB_APP_IDE,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\09_WEB_APP_IDE,,2026-06-11T17:13:46,9,3,2448,
99_ARCHIVES,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES,,2026-06-30T21:09:51,4717,613,61836774,
source,folder,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source,,2026-06-20T10:48:43,25,1,19359067,
desktop.ini,file,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\desktop.ini,246,2026-06-30T22:39:26,,,246,b9629f88fcf26d1acc8c27e7118ed9b0ae9cb56c6294dcac7aacb0532aa200c0
