row_no,name,path,kind,size,sha256,mtime
1,00_ADMIN,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\00_ADMIN,folder,0,,2026-06-13T21:24:34
2,01_DOCS,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS,folder,0,,2026-06-24T17:41:04
3,02_SHEETS,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\02_SHEETS,folder,0,,2026-06-11T11:37:59
4,03_APPS_SCRIPT,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\03_APPS_SCRIPT,folder,0,,2026-06-14T02:12:41
5,04_APPSHEET,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\04_APPSHEET,folder,0,,2026-06-11T17:30:32
6,05_LOOKER,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\05_LOOKER,folder,0,,2026-06-11T11:38:00
7,06_STITCH,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\06_STITCH,folder,0,,2026-06-11T13:13:17
8,07_ANTIGRAVITY,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\07_ANTIGRAVITY,folder,0,,2026-06-11T11:38:00
9,08_QAIC_BRIDGE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\08_QAIC_BRIDGE,folder,0,,2026-06-11T17:13:23
10,09_WEB_APP_IDE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\09_WEB_APP_IDE,folder,0,,2026-06-11T17:13:46
11,99_ARCHIVES,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\99_ARCHIVES,folder,0,,2026-06-30T21:09:51
12,desktop.ini,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\desktop.ini,file,246,b9629f88fcf26d1acc8c27e7118ed9b0ae9cb56c6294dcac7aacb0532aa200c0,2026-06-30T22:39:26
13,source,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source,folder,0,,2026-06-20T10:48:43
