row_no,item,classification,source_column_classification,source_column_item,raw_json
1,architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md,MOVE_TO_99_ARCHIVES_CANDIDATE,classification,name,"{""apply_allowed_in_r19"": ""FALSE"", ""bytes"": ""44769"", ""classification"": ""MOVE_TO_99_ARCHIVES_CANDIDATE"", ""extension"": "".md"", ""name"": ""architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md"", ""proposed_target_domain"": ""99_ARCHIVES"", ""reason"": ""Same SHA256 exists outside source; source copy is duplicate candidate"", ""relative_path"": ""architecture_mvp_crypto_stitch_antigravity_google_lexique_first.md"", ""same_hash_outside_source_count"": ""2"", ""same_hash_outside_source_paths"": ""99_ARCHIVES/R9_EXTERNAL_RANGEMENT_ARCHIVE_CANDIDATES_20260630/03_EXPORTS/P52G_20260620_105154/SNAP/SN001.md | 99_ARCHIVES/R9_EXTERNAL_RANGEMENT_ARCHIVE_CANDIDATES_20260630/03_EXPORTS/P52F_20260620_104838/POST/POST020.md"", ""sha256"": ""4f9f6dfd09190b5dca3b0af20d8b0e2492ed9f87c0d8bfd5a1b7854b1d83460c""}"
2,desktop.ini,WINDOWS_NOISE_ARCHIVE_CANDIDATE,classification,name,"{""apply_allowed_in_r19"": ""FALSE"", ""bytes"": ""246"", ""classification"": ""WINDOWS_NOISE_ARCHIVE_CANDIDATE"", ""extension"": "".ini"", ""name"": ""desktop.ini"", ""proposed_target_domain"": ""99_ARCHIVES"", ""reason"": ""Windows noise file"", ""relative_path"": ""desktop.ini"", ""same_hash_outside_source_count"": ""0"", ""same_hash_outside_source_paths"": """", ""sha256"": ""b9629f88fcf26d1acc8c27e7118ed9b0ae9cb56c6294dcac7aacb0532aa200c0""}"
3,lexique_crypto_methodes_signaux_trading_pro.md,MOVE_TO_99_ARCHIVES_CANDIDATE,classification,name,"{""apply_allowed_in_r19"": ""FALSE"", ""bytes"": ""28204"", ""classification"": ""MOVE_TO_99_ARCHIVES_CANDIDATE"", ""extension"": "".md"", ""name"": ""lexique_crypto_methodes_signaux_trading_pro.md"", ""proposed_target_domain"": ""99_ARCHIVES"", ""reason"": ""Same SHA256 exists outside source; source copy is duplicate candidate"", ""relative_path"": ""lexique_crypto_methodes_signaux_trading_pro.md"", ""same_hash_outside_source_count"": ""2"", ""same_hash_outside_source_paths"": ""99_ARCHIVES/R9_EXTERNAL_RANGEMENT_ARCHIVE_CANDIDATES_20260630/03_EXPORTS/P52G_20260620_105154/SNAP/SN002.md | 99_ARCHIVES/R9_EXTERNAL_RANGEMENT_ARCHIVE_CANDIDATES_20260630/03_EXPORTS/P52F_20260620_104838/POST/POST021.md"", ""sha256"": ""325e7d0857f8a6ca90c79e87db0a74615379739c18aac0fa8040d17585ea2432""}"
4,desktop.ini,WINDOWS_NOISE_ARCHIVE_CANDIDATE,classification,name,"{""apply_allowed_in_r19"": ""FALSE"", ""bytes"": ""246"", ""classification"": ""WINDOWS_NOISE_ARCHIVE_CANDIDATE"", ""extension"": "".ini"", ""name"": ""desktop.ini"", ""proposed_target_domain"": ""99_ARCHIVES"", ""reason"": ""Windows noise file"", ""relative_path"": ""Revolut X/desktop.ini"", ""same_hash_outside_source_count"": ""0"", ""same_hash_outside_source_paths"": """", ""sha256"": ""b9629f88fcf26d1acc8c27e7118ed9b0ae9cb56c6294dcac7aacb0532aa200c0""}"
5,MVP QAIC — Mémo d’intégration Revolut X.pdf,HOLD_REVIEW,classification,name,"{""apply_allowed_in_r19"": ""FALSE"", ""bytes"": ""235562"", ""classification"": ""HOLD_REVIEW"", ""extension"": "".pdf"", ""name"": ""MVP QAIC — Mémo d’intégration Revolut X.pdf"", ""proposed_target_domain"": """", ""reason"": ""No safe automatic classification"", ""relative_path"": ""Revolut X/MVP QAIC — Mémo d’intégration Revolut X.pdf"", ""same_hash_outside_source_count"": ""0"", ""same_hash_outside_source_paths"": """", ""sha256"": ""9bb61a5f3323cbb9298b1499cb70e9f0134f56349cdf365849d792fa6af35d76""}"
6,v25_00_reference_contract_crypto_alpha_ia.js,MOVE_TO_99_ARCHIVES_CANDIDATE,classification,name,"{""apply_allowed_in_r19"": ""FALSE"", ""bytes"": ""377239"", ""classification"": ""MOVE_TO_99_ARCHIVES_CANDIDATE"", ""extension"": "".js"", ""name"": ""v25_00_reference_contract_crypto_alpha_ia.js"", ""proposed_target_domain"": ""99_ARCHIVES"", ""reason"": ""Same SHA256 exists outside source; source copy is duplicate candidate"", ""relative_path"": ""Revolut X/v25_00_reference_contract_crypto_alpha_ia.js"", ""same_hash_outside_source_count"": ""2"", ""same_hash_outside_source_paths"": ""99_ARCHIVES/R9_EXTERNAL_RANGEMENT_ARCHIVE_CANDIDATES_20260630/03_EXPORTS/P52G_20260620_105154/SNAP/SN036.js | 99_ARCHIVES/R9_EXTERNAL_RANGEMENT_ARCHIVE_CANDIDATES_20260630/03_EXPORTS/P52F_20260620_104838/POST/POST022.js"", ""sha256"": ""4d05cc6d4ae5578c79fc5d12e39606ead09ded82dbf3057e2f92227f7b20f8bf""}"
7,v25_17_portfolio_alpha_bridge.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,classification,name,"{""apply_allowed_in_r19"": ""FALSE"", ""bytes"": ""53332"", ""classification"": ""MOVE_TO_DOMAIN_FOLDER_CANDIDATE"", ""extension"": "".js"", ""name"": ""v25_17_portfolio_alpha_bridge.js"", ""proposed_target_domain"": ""03_APPS_SCRIPT"", ""reason"": ""Source-like web/apps-script asset; requires human validation before move"", ""relative_path"": ""Revolut X/v25_17_portfolio_alpha_bridge.js"", ""same_hash_outside_source_count"": ""0"", ""same_hash_outside_source_paths"": """", ""sha256"": ""e106536144c4e9b572447c51779e4de152e1b31e58b236d0b88f88ae55f1e936""}"
8,v25_18_portfolio_master_v25_contract.js,MOVE_TO_99_ARCHIVES_CANDIDATE,classification,name,"{""apply_allowed_in_r19"": ""FALSE"", ""bytes"": ""62285"", ""classification"": ""MOVE_TO_99_ARCHIVES_CANDIDATE"", ""extension"": "".js"", ""name"": ""v25_18_portfolio_master_v25_contract.js"", ""proposed_target_domain"": ""99_ARCHIVES"", ""reason"": ""Same SHA256 exists outside source; source copy is duplicate candidate"", ""relative_path"": ""Revolut X/v25_18_portfolio_master_v25_contract.js"", ""same_hash_outside_source_count"": ""2"", ""same_hash_outside_source_paths"": ""99_ARCHIVES/R9_EXTERNAL_RANGEMENT_ARCHIVE_CANDIDATES_20260630/03_EXPORTS/P52G_20260620_105154/SNAP/SN029.js | 99_ARCHIVES/R9_EXTERNAL_RANGEMENT_ARCHIVE_CANDIDATES_20260630/03_EXPORTS/P52F_20260620_104838/POST/POST024.js"", ""sha256"": ""b46a6b2065c64a889c12c5e3201e26bf56d33ecd6923f63ca3830dc29fbd7525""}"
9,v25_19_portfolio_master_v25_builder.js,MOVE_TO_99_ARCHIVES_CANDIDATE,classification,name,"{""apply_allowed_in_r19"": ""FALSE"", ""bytes"": ""70494"", ""classification"": ""MOVE_TO_99_ARCHIVES_CANDIDATE"", ""extension"": "".js"", ""name"": ""v25_19_portfolio_master_v25_builder.js"", ""proposed_target_domain"": ""99_ARCHIVES"", ""reason"": ""Same SHA256 exists outside source; source copy is duplicate candidate"", ""relative_path"": ""Revolut X/v25_19_portfolio_master_v25_builder.js"", ""same_hash_outside_source_count"": ""2"", ""same_hash_outside_source_paths"": ""99_ARCHIVES/R9_EXTERNAL_RANGEMENT_ARCHIVE_CANDIDATES_20260630/03_EXPORTS/P52G_20260620_105154/SNAP/SN030.js | 99_ARCHIVES/R9_EXTERNAL_RANGEMENT_ARCHIVE_CANDIDATES_20260630/03_EXPORTS/P52F_20260620_104838/POST/POST025.js"", ""sha256"": ""72d1da4516b6d8e013f348015bfaf63aaac82e2ecd3f83c8dfa3286cfb505a54""}"
10,v25_20_portfolio_exposure_engine.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,classification,name,"{""apply_allowed_in_r19"": ""FALSE"", ""bytes"": ""52497"", ""classification"": ""MOVE_TO_DOMAIN_FOLDER_CANDIDATE"", ""extension"": "".js"", ""name"": ""v25_20_portfolio_exposure_engine.js"", ""proposed_target_domain"": ""03_APPS_SCRIPT"", ""reason"": ""Source-like web/apps-script asset; requires human validation before move"", ""relative_path"": ""Revolut X/v25_20_portfolio_exposure_engine.js"", ""same_hash_outside_source_count"": ""0"", ""same_hash_outside_source_paths"": """", ""sha256"": ""7c015378af7790d0342cb84bc64feb960f64230b779f2c165a78b95e352ed86e""}"
