check,required,ok,detail
repo_exists,TRUE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY
inside_work_tree,TRUE,TRUE,true
branch_master,TRUE,TRUE,master
r19_tag_present,TRUE,TRUE,b8ed90f680ab11c5f2ebafda1aabf518ba148e0b
head_at_or_after_r19,TRUE,TRUE,head=b8ed90f680ab11c5f2ebafda1aabf518ba148e0b r19=b8ed90f680ab11c5f2ebafda1aabf518ba148e0b
status_before_clean_or_allowed_ui_config_only,TRUE,TRUE,CLEAN
r19_reports_dir_exists,TRUE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R19_REPORTS
r19_report_candidate_found,TRUE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R19_REPORTS\R19_SOURCE_FOLDER_AUDIT_20260701_002028
inventory_loaded,TRUE,TRUE,rows=25
plan_loaded,TRUE,TRUE,rows=25
classification_column_detected,FALSE,TRUE,classification
item_column_detected,FALSE,TRUE,name
verdict_available,TRUE,TRUE,R20_APPLY_NOT_AUTOMATIC_REQUIRES_HUMAN_VALIDATION
targeted_staging_only,TRUE,TRUE,"docs/drive_reconcile/R19B_REPORTS/R19B_SOURCE_FOLDER_READOUT_20260701_002750/R19B_ACTION_LIST.csv
docs/drive_reconcile/R19B_REPORTS/R19B_SOURCE_FOLDER_READOUT_20260701_002750/R19B_CHECKS.csv
docs/drive_reconcile/R19B_REPORTS/R19B_SOURCE_FOLDER_READOUT_20260701_002750/R19B_READOUT_SUMMARY.md
docs/drive_reconcile/R19B_REPORTS/R19B_SOURCE_FOLDER_READOUT_20260701_002750/R19B_SOURCE_CLASSIFICATION_COUNTS.csv
docs/drive_reconcile/R19B_REPORTS/R19B_SOURCE_FOLDER_READOUT_20260701_002750/R19B_SOURCE_CLASSIFICATION_COUNTS_FROM_PLAN.csv
docs/drive_reconcile/R19B_REPORTS/R19B_SOURCE_FOLDER_READOUT_20260701_002750/R19B_SOURCE_DUPLICATE_HASHES.csv
docs/drive_reconcile/R19B_REPORTS/R19B_SOURCE_FOLDER_READOUT_20260701_002750/R19B_SOURCE_EXTENSION_COUNTS.csv
docs/drive_reconcile/R19B_REPORTS/R19B_SOURCE_FOLDER_READOUT_20260701_002750/R19B_SOURCE_R19_STATUS.json
docs/drive_reconcile/R19B_REPORTS/R19B_SOURCE_FOLDER_READOUT_20260701_002750/R19B_STATUS.json
docs/drive_reconcile/R19B_REPORTS/R19B_SOURCE_FOLDER_READOUT_20260701_002750/R19B_STATUS_BEFORE.txt"
staged_nonempty,TRUE,TRUE,count=10
