check,required,ok,detail
repo_exists,TRUE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY
inside_work_tree,TRUE,TRUE,true
branch_master,TRUE,TRUE,master
r20a8_tag_present,TRUE,TRUE,d39d0caa2ef739b53bd997aaa967a14434b8fc6a
head_at_or_after_r20a8,TRUE,TRUE,head=d39d0caa2ef739b53bd997aaa967a14434b8fc6a r20a8=d39d0caa2ef739b53bd997aaa967a14434b8fc6a
r20a7_tag_present,FALSE,TRUE,26f9b0dae10e3b6b688321c123c0fe492f87542d
status_before_clean_or_allowed_runtime_readiness_dirty,TRUE,TRUE,CLEAN
signal_os_root_found,TRUE,TRUE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS
source_dir_exists,TRUE,TRUE,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\source
r20a8_report_candidate_found,TRUE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R20A8_REPORTS\R20A8_SOURCE_SELECTED_ARCHIVE_NOISE_APPLY_20260701_100825
r20a8_selected_remaining_csv_found,TRUE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R20A8_REPORTS\R20A8_SOURCE_SELECTED_ARCHIVE_NOISE_APPLY_20260701_100825\R20A8_SELECTED_REMAINING_AFTER.csv
r20a8_unknown_csv_found,FALSE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R20A8_REPORTS\R20A8_SOURCE_SELECTED_ARCHIVE_NOISE_APPLY_20260701_100825\R20A8_UNKNOWN_STILL_IN_SOURCE.csv
r20a8_protected_csv_found,FALSE,TRUE,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R20A8_REPORTS\R20A8_SOURCE_SELECTED_ARCHIVE_NOISE_APPLY_20260701_100825\R20A8_PROTECTED_DOMAIN_HOLD_STILL_IN_SOURCE.csv
selected_rows_loaded,TRUE,TRUE,rows=4
unknown_rows_loaded,FALSE,TRUE,rows=2
protected_rows_loaded,FALSE,TRUE,rows=12
source_live_inventory_written,FALSE,TRUE,files=18
no_preexisting_staged_changes,TRUE,TRUE,NONE
targeted_staging_only,TRUE,TRUE,docs/drive_reconcile/R20A9_REPORTS/R20A9_SOURCE_SELECTED_UNKNOWN_INSPECTION_20260701_101742/R20A9_CHECKS.csv
targeted_staging_only,TRUE,TRUE,docs/drive_reconcile/R20A9_REPORTS/R20A9_SOURCE_SELECTED_UNKNOWN_INSPECTION_20260701_101742/R20A9_EXTENSION_COUNTS.csv
targeted_staging_only,TRUE,TRUE,docs/drive_reconcile/R20A9_REPORTS/R20A9_SOURCE_SELECTED_UNKNOWN_INSPECTION_20260701_101742/R20A9_PROTECTED_INSPECTION.csv
targeted_staging_only,TRUE,TRUE,docs/drive_reconcile/R20A9_REPORTS/R20A9_SOURCE_SELECTED_UNKNOWN_INSPECTION_20260701_101742/R20A9_READOUT_SUMMARY.md
targeted_staging_only,TRUE,TRUE,docs/drive_reconcile/R20A9_REPORTS/R20A9_SOURCE_SELECTED_UNKNOWN_INSPECTION_20260701_101742/R20A9_SELECTED_REMAINING_INSPECTION.csv
targeted_staging_only,TRUE,TRUE,docs/drive_reconcile/R20A9_REPORTS/R20A9_SOURCE_SELECTED_UNKNOWN_INSPECTION_20260701_101742/R20A9_SOURCE_LIVE_INVENTORY.csv
targeted_staging_only,TRUE,TRUE,docs/drive_reconcile/R20A9_REPORTS/R20A9_SOURCE_SELECTED_UNKNOWN_INSPECTION_20260701_101742/R20A9_STATUS.json
targeted_staging_only,TRUE,TRUE,docs/drive_reconcile/R20A9_REPORTS/R20A9_SOURCE_SELECTED_UNKNOWN_INSPECTION_20260701_101742/R20A9_STATUS_BEFORE.txt
targeted_staging_only,TRUE,TRUE,docs/drive_reconcile/R20A9_REPORTS/R20A9_SOURCE_SELECTED_UNKNOWN_INSPECTION_20260701_101742/R20A9_SUMMARY_COUNTS.csv
targeted_staging_only,TRUE,TRUE,docs/drive_reconcile/R20A9_REPORTS/R20A9_SOURCE_SELECTED_UNKNOWN_INSPECTION_20260701_101742/R20A9_UNKNOWN_INSPECTION.csv
staged_nonempty,TRUE,TRUE,count=10
