kind,expected_row_no,expected_item,expected_classification,expected_relative_path,exact_relative_path_present,basename_match_count,basename_match_paths,exact_size_bytes,exact_mtime_utc,diagnosis
protected_domain_hold_from_r20a8,1,MVP QAIC — Mémo d’intégration Revolut X.pdf,HOLD_REVIEW,,FALSE,1,Revolut X/MVP QAIC — Mémo d’intégration Revolut X.pdf,,,BASENAME_PRESENT_DIFFERENT_PATH
protected_domain_hold_from_r20a8,2,v25_17_portfolio_alpha_bridge.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,,FALSE,1,Revolut X/v25_17_portfolio_alpha_bridge.js,,,BASENAME_PRESENT_DIFFERENT_PATH
protected_domain_hold_from_r20a8,3,v25_20_portfolio_exposure_engine.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,,FALSE,1,Revolut X/v25_20_portfolio_exposure_engine.js,,,BASENAME_PRESENT_DIFFERENT_PATH
protected_domain_hold_from_r20a8,4,v25_21_portfolio_risk_decision_engine.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,,FALSE,1,Revolut X/v25_21_portfolio_risk_decision_engine.js,,,BASENAME_PRESENT_DIFFERENT_PATH
protected_domain_hold_from_r20a8,5,v25_22_portfolio_decision_control_center.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,,FALSE,1,Revolut X/v25_22_portfolio_decision_control_center.js,,,BASENAME_PRESENT_DIFFERENT_PATH
protected_domain_hold_from_r20a8,6,v25_23_portfolio_execution_queue.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,,FALSE,1,Revolut X/v25_23_portfolio_execution_queue.js,,,BASENAME_PRESENT_DIFFERENT_PATH
protected_domain_hold_from_r20a8,7,v25_24_portfolio_pre_trade_guard.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,,FALSE,1,Revolut X/v25_24_portfolio_pre_trade_guard.js,,,BASENAME_PRESENT_DIFFERENT_PATH
protected_domain_hold_from_r20a8,8,v25_26_manual_order_lifecycle_tracker.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,,FALSE,1,Revolut X/v25_26_manual_order_lifecycle_tracker.js,,,BASENAME_PRESENT_DIFFERENT_PATH
protected_domain_hold_from_r20a8,9,v25_30_revolut_x_readonly_connector.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,,FALSE,1,Revolut X/v25_30_revolut_x_readonly_connector.js,,,BASENAME_PRESENT_DIFFERENT_PATH
protected_domain_hold_from_r20a8,10,v25_35_portfolio_intelligence.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,,FALSE,1,Revolut X/v25_35_portfolio_intelligence.js,,,BASENAME_PRESENT_DIFFERENT_PATH
protected_domain_hold_from_r20a8,11,v25_agent_control_core.js,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,,FALSE,1,Revolut X/v25_agent_control_core.js,,,BASENAME_PRESENT_DIFFERENT_PATH
protected_domain_hold_from_r20a8,12,📈 QAIC Crypto - V25 DEV.xlsx,MOVE_TO_DOMAIN_FOLDER_CANDIDATE,,FALSE,1,Revolut X/📈 QAIC Crypto - V25 DEV.xlsx,,,BASENAME_PRESENT_DIFFERENT_PATH
