proposed_action,confidence,validation_required,reason,source_relative_path,source_sha256,source_bytes,source_domain_hint,source_full_name,target_relative_path,target_sha256,target_bytes,target_domain_hint,target_full_name,proposed_target_relative_path,proposed_source_archive_relative_path,r5_bucket,r5_reason,r5_apply_mode,r5_proposed_docs_relative_target,r5_recommendation
ARCHIVE_SOURCE_ALREADY_PRESENT_BY_HASH,HIGH,YES,Same SHA256 already exists in target docs at a different path,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_NOTICE_UTILISATION.html,c79cb573791fab623e020ec644f6cd7126dfcbe6fa448b6f39c8dea0aafc82ae,2422,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\MVP_QAIC_NOTICE_UTILISATION.html,FINAL/MVP_QAIC_NOTICE_UTILISATION.html,c79cb573791fab623e020ec644f6cd7126dfcbe6fa448b6f39c8dea0aafc82ae,2422,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\MVP_QAIC_NOTICE_UTILISATION.html,,_ARCHIVE_ALREADY_IN_MVP_DOCS/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_NOTICE_UTILISATION.html,ARCHIVE_SOURCE_DUPLICATE_EXACT_HASH_REVIEW,Selected for duplicate/archive review: source hash already present in target docs.,DRIVE_ARCHIVE_REVIEW_ONLY,,ARCHIVE_SOURCE_DUPLICATE_AFTER_CONFIRMATION
ARCHIVE_SOURCE_ALREADY_PRESENT_BY_HASH,HIGH,YES,Same SHA256 already exists in target docs at a different path,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_DOCS_FINAL_FUSED.md,a29e5bf21e4be318815656ad4e118553a55c7862e38e581e9a9822ac0f0a33ea,929,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\MVP_QAIC_DOCS_FINAL_FUSED.md,FINAL/MVP_QAIC_DOCS_FINAL_FUSED.md,a29e5bf21e4be318815656ad4e118553a55c7862e38e581e9a9822ac0f0a33ea,929,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\MVP_QAIC_DOCS_FINAL_FUSED.md,,_ARCHIVE_ALREADY_IN_MVP_DOCS/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_DOCS_FINAL_FUSED.md,ARCHIVE_SOURCE_DUPLICATE_EXACT_HASH_REVIEW,Selected for duplicate/archive review: source hash already present in target docs.,DRIVE_ARCHIVE_REVIEW_ONLY,,ARCHIVE_SOURCE_DUPLICATE_AFTER_CONFIRMATION
ARCHIVE_SOURCE_ALREADY_PRESENT_BY_HASH,HIGH,YES,Same SHA256 already exists in target docs at a different path,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.csv,61b341cefd082b6c7317bf96925e45faa8d1b56501e2466d1e03be159809b4fb,6775,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.csv,FINAL/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.csv,61b341cefd082b6c7317bf96925e45faa8d1b56501e2466d1e03be159809b4fb,6775,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.csv,,_ARCHIVE_ALREADY_IN_MVP_DOCS/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.csv,ARCHIVE_SOURCE_DUPLICATE_EXACT_HASH_REVIEW,Selected for duplicate/archive review: source hash already present in target docs.,DRIVE_ARCHIVE_REVIEW_ONLY,,ARCHIVE_SOURCE_DUPLICATE_AFTER_CONFIRMATION
ARCHIVE_SOURCE_ALREADY_PRESENT_BY_HASH,HIGH,YES,Same SHA256 already exists in target docs at a different path,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.md,b7dfedb7687a9a9762e8cb19dd5353dc92daf6e60340627702d18f8c219f039e,1747,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.md,FINAL/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.md,b7dfedb7687a9a9762e8cb19dd5353dc92daf6e60340627702d18f8c219f039e,1747,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\FINAL\MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.md,,_ARCHIVE_ALREADY_IN_MVP_DOCS/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.md,ARCHIVE_SOURCE_DUPLICATE_EXACT_HASH_REVIEW,Selected for duplicate/archive review: source hash already present in target docs.,DRIVE_ARCHIVE_REVIEW_ONLY,,ARCHIVE_SOURCE_DUPLICATE_AFTER_CONFIRMATION
ARCHIVE_SOURCE_ALREADY_PRESENT_BY_HASH,HIGH,YES,Same SHA256 already exists in target docs at a different path,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_DOC_INDEX.csv,7309189a7b9b893333e3342292b0aedd325debe8da38b81e4961853a76ff1904,153744,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\MVP_QAIC_DOC_INDEX.csv,INDEX/MVP_QAIC_DOC_INDEX.csv,7309189a7b9b893333e3342292b0aedd325debe8da38b81e4961853a76ff1904,153744,EXPORT_INVENTORY,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\INDEX\MVP_QAIC_DOC_INDEX.csv,,_ARCHIVE_ALREADY_IN_MVP_DOCS/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_DOC_INDEX.csv,ARCHIVE_SOURCE_DUPLICATE_EXACT_HASH_REVIEW,Selected for duplicate/archive review: source hash already present in target docs.,DRIVE_ARCHIVE_REVIEW_ONLY,,ARCHIVE_SOURCE_DUPLICATE_AFTER_CONFIRMATION
ARCHIVE_SOURCE_ALREADY_PRESENT_BY_HASH,HIGH,YES,Same SHA256 already exists in target docs at a different path,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_RESIDUAL_DOCS_TO_MERGE.csv,80e269de4abedf63f3e7aa424b9365bc385d639da5b7117852aa3d76a226ffb0,144452,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\MVP_QAIC_RESIDUAL_DOCS_TO_MERGE.csv,INDEX/MVP_QAIC_RESIDUAL_DOCS_TO_MERGE.csv,80e269de4abedf63f3e7aa424b9365bc385d639da5b7117852aa3d76a226ffb0,144452,EXPORT_INVENTORY,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\INDEX\MVP_QAIC_RESIDUAL_DOCS_TO_MERGE.csv,,_ARCHIVE_ALREADY_IN_MVP_DOCS/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_RESIDUAL_DOCS_TO_MERGE.csv,ARCHIVE_SOURCE_DUPLICATE_EXACT_HASH_REVIEW,Selected for duplicate/archive review: source hash already present in target docs.,DRIVE_ARCHIVE_REVIEW_ONLY,,ARCHIVE_SOURCE_DUPLICATE_AFTER_CONFIRMATION
ARCHIVE_SOURCE_ALREADY_PRESENT_BY_HASH,HIGH,YES,Same SHA256 already exists in target docs at a different path,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_DOC_GOVERNANCE.md,38fed68e1b05dc7ba8b6b8126daa2f3abc042b8944cb5c75d9a628ee42c9a91b,186,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\MVP_QAIC_DOC_GOVERNANCE.md,GOVERNANCE/MVP_QAIC_DOC_GOVERNANCE.md,38fed68e1b05dc7ba8b6b8126daa2f3abc042b8944cb5c75d9a628ee42c9a91b,186,DOCUMENTATION,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\GOVERNANCE\MVP_QAIC_DOC_GOVERNANCE.md,,_ARCHIVE_ALREADY_IN_MVP_DOCS/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_DOC_GOVERNANCE.md,ARCHIVE_SOURCE_DUPLICATE_EXACT_HASH_REVIEW,Selected for duplicate/archive review: source hash already present in target docs.,DRIVE_ARCHIVE_REVIEW_ONLY,,ARCHIVE_SOURCE_DUPLICATE_AFTER_CONFIRMATION
ARCHIVE_SOURCE_ALREADY_PRESENT_BY_HASH,HIGH,YES,Same SHA256 already exists in target docs at a different path,01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_FINAL_DOC_TARGETS.csv,c21349faa45c8ffe4492fe87cf46305c2d192737032f1419224ec0a99cad9071,1334,FINAL_DOC,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\FINAL_FUSED\MVP_QAIC_PY\MVP_QAIC_FINAL_DOC_TARGETS.csv,INDEX/MVP_QAIC_FINAL_DOC_TARGETS.csv,c21349faa45c8ffe4492fe87cf46305c2d192737032f1419224ec0a99cad9071,1334,FINAL_DOC,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\INDEX\MVP_QAIC_FINAL_DOC_TARGETS.csv,,_ARCHIVE_ALREADY_IN_MVP_DOCS/01_DOCS/FINAL_FUSED/MVP_QAIC_PY/MVP_QAIC_FINAL_DOC_TARGETS.csv,ARCHIVE_SOURCE_DUPLICATE_EXACT_HASH_REVIEW,Selected for duplicate/archive review: source hash already present in target docs.,DRIVE_ARCHIVE_REVIEW_ONLY,,ARCHIVE_SOURCE_DUPLICATE_AFTER_CONFIRMATION
ARCHIVE_SOURCE_ALREADY_PRESENT_BY_HASH,HIGH,YES,Same SHA256 already exists in target docs at a different path,01_DOCS/INBOX_TO_REVIEW/MVP_QAIC_PY/MVP_QAIC_EXACT_3_ROOTS_INVENTORY.csv,a6e7559fcd089fc5e5f452deb2d8438f95d8ed0778d72922edcb5d33501b3a1a,6092425,EXPORT_INVENTORY,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\INBOX_TO_REVIEW\MVP_QAIC_PY\MVP_QAIC_EXACT_3_ROOTS_INVENTORY.csv,INDEX/MVP_QAIC_EXACT_3_ROOTS_INVENTORY.csv,a6e7559fcd089fc5e5f452deb2d8438f95d8ed0778d72922edcb5d33501b3a1a,6092425,EXPORT_INVENTORY,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\INDEX\MVP_QAIC_EXACT_3_ROOTS_INVENTORY.csv,,_ARCHIVE_ALREADY_IN_MVP_DOCS/01_DOCS/INBOX_TO_REVIEW/MVP_QAIC_PY/MVP_QAIC_EXACT_3_ROOTS_INVENTORY.csv,ARCHIVE_SOURCE_DUPLICATE_EXACT_HASH_REVIEW,Selected for duplicate/archive review: source hash already present in target docs.,DRIVE_ARCHIVE_REVIEW_ONLY,,ARCHIVE_SOURCE_DUPLICATE_AFTER_CONFIRMATION
ARCHIVE_SOURCE_ALREADY_PRESENT_BY_HASH,HIGH,YES,Same SHA256 already exists in target docs at a different path,01_DOCS/INBOX_TO_REVIEW/MVP_QAIC_PY/MVP_QAIC_REVENTILATION_PLAN.csv,a7dc84a310dd9f7ffef562460db9e8ee7b9d370ca28fc735d321d3fcd4a4114e,3205395,EXPORT_INVENTORY,G:\Mon Drive\👥 JULIEN [Perso]\📈 Trading JRb\Solutions & Dev (Trading JRb)\📈 QAIC\🛠️ MVP QAIC — Crypto Signal OS\01_DOCS\INBOX_TO_REVIEW\MVP_QAIC_PY\MVP_QAIC_REVENTILATION_PLAN.csv,INDEX/MVP_QAIC_REVENTILATION_PLAN.csv,a7dc84a310dd9f7ffef562460db9e8ee7b9d370ca28fc735d321d3fcd4a4114e,3205395,EXPORT_INVENTORY,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\INDEX\MVP_QAIC_REVENTILATION_PLAN.csv,,_ARCHIVE_ALREADY_IN_MVP_DOCS/01_DOCS/INBOX_TO_REVIEW/MVP_QAIC_PY/MVP_QAIC_REVENTILATION_PLAN.csv,ARCHIVE_SOURCE_DUPLICATE_EXACT_HASH_REVIEW,Selected for duplicate/archive review: source hash already present in target docs.,DRIVE_ARCHIVE_REVIEW_ONLY,,ARCHIVE_SOURCE_DUPLICATE_AFTER_CONFIRMATION
