status,source,target
COPIED,C:\Users\Julie\Downloads\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\r5_plan\INPUT_R4_DIGEST_TO_PASTE.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R5_REPORTS\MVP_QAIC_DOCS_DRIVE_RECONCILE_R5_SELECTED_PLAN_20260630\INPUT_R4_DIGEST_TO_PASTE.md
COPIED,C:\Users\Julie\Downloads\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\r5_plan\INPUT_RUN_STATUS.json,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R5_REPORTS\MVP_QAIC_DOCS_DRIVE_RECONCILE_R5_SELECTED_PLAN_20260630\INPUT_RUN_STATUS.json
COPIED,C:\Users\Julie\Downloads\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\r5_plan\R5_CONFLICTS_28_REVIEW_BEFORE_OVERWRITE.csv,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R5_REPORTS\MVP_QAIC_DOCS_DRIVE_RECONCILE_R5_SELECTED_PLAN_20260630\R5_CONFLICTS_28_REVIEW_BEFORE_OVERWRITE.csv
COPIED,C:\Users\Julie\Downloads\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\r5_plan\R5_DUPLICATES_15_ARCHIVE_CANDIDATES.csv,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R5_REPORTS\MVP_QAIC_DOCS_DRIVE_RECONCILE_R5_SELECTED_PLAN_20260630\R5_DUPLICATES_15_ARCHIVE_CANDIDATES.csv
COPIED,C:\Users\Julie\Downloads\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\r5_plan\R5_EXCLUDED_DEFERRED_MASS_IMPORT.csv,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R5_REPORTS\MVP_QAIC_DOCS_DRIVE_RECONCILE_R5_SELECTED_PLAN_20260630\R5_EXCLUDED_DEFERRED_MASS_IMPORT.csv
COPIED,C:\Users\Julie\Downloads\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\r5_plan\R5_SELECTED_ACTIONS_NEEDS_VALIDATION.csv,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R5_REPORTS\MVP_QAIC_DOCS_DRIVE_RECONCILE_R5_SELECTED_PLAN_20260630\R5_SELECTED_ACTIONS_NEEDS_VALIDATION.csv
COPIED,C:\Users\Julie\Downloads\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\r5_plan\R5_SELECTED_FOLDERS_NEEDS_VALIDATION.csv,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R5_REPORTS\MVP_QAIC_DOCS_DRIVE_RECONCILE_R5_SELECTED_PLAN_20260630\R5_SELECTED_FOLDERS_NEEDS_VALIDATION.csv
COPIED,C:\Users\Julie\Downloads\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\r5_plan\R5_SELECTED_IMPORTS_TO_FUSION_INBOX_NEEDS_VALIDATION.csv,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R5_REPORTS\MVP_QAIC_DOCS_DRIVE_RECONCILE_R5_SELECTED_PLAN_20260630\R5_SELECTED_IMPORTS_TO_FUSION_INBOX_NEEDS_VALIDATION.csv
COPIED,C:\Users\Julie\Downloads\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\r5_plan\R5_SUMMARY.json,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R5_REPORTS\MVP_QAIC_DOCS_DRIVE_RECONCILE_R5_SELECTED_PLAN_20260630\R5_SUMMARY.json
COPIED,C:\Users\Julie\Downloads\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\mvp_qaic_docs_drive_reconcile_R6_LOCAL_FUSION_INBOX_PLUS_REPORTS_pack\r5_plan\R5_VALIDATION_PLAN.md,C:\JRb_TRADING_OS\MVP_QAIC_PY\docs\drive_reconcile\R5_REPORTS\MVP_QAIC_DOCS_DRIVE_RECONCILE_R5_SELECTED_PLAN_20260630\R5_VALIDATION_PLAN.md
