artifact_path,artifact_type,public_safe,qaic_private,allowed_for_mvp,owner_project,notes
"docs/public_method_contracts/lexicon/lexicon_entry_fields.csv","LEXICON_PUBLIC_METHOD",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/lexicon/README.md","PUBLIC_METHOD_OVERVIEW",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/methods/public_signal_taxonomy_fields.csv","SIGNAL_TAXONOMY_PUBLIC_METHOD",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/methods/README.md","PUBLIC_METHOD_OVERVIEW",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/prompts/prompt_template_fields.csv","PROMPT_PUBLIC_METHOD",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/prompts/README.md","PUBLIC_METHOD_OVERVIEW",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/README.md","PUBLIC_METHOD_OVERVIEW",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/registry/public_field_dictionary.csv","PUBLIC_CONTRACT_REGISTRY",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/registry/public_method_registry.csv","PUBLIC_CONTRACT_REGISTRY",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/registry/public_private_boundary_audit.csv","PUBLIC_CONTRACT_REGISTRY",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Audit evidence for public/private boundary; sensitive terms are documented exclusions only."
"docs/public_method_contracts/registry/public_private_forbidden_content_review.csv","PUBLIC_CONTRACT_REGISTRY",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Audit evidence for public/private boundary; sensitive terms are documented exclusions only."
"docs/public_method_contracts/schemas_public_safe/lexicon_entry.schema.json","PUBLIC_SAFE_SCHEMA",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/schemas_public_safe/prompt_template.schema.json","PUBLIC_SAFE_SCHEMA",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/schemas_public_safe/public_signal_taxonomy.schema.json","PUBLIC_SAFE_SCHEMA",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/schemas_public_safe/README.md","PUBLIC_SAFE_SCHEMA",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Public MVP handoff contract artifact; QAIC private execution remains excluded."
"docs/public_method_contracts/MVP_HANDOFF.md","MVP_HANDOFF_DOCUMENT",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Main handoff document generated by P3.82A R3."
"docs/public_method_contracts/registry/public_contract_manifest.csv","PUBLIC_CONTRACT_MANIFEST",TRUE,FALSE,TRUE,"MVP_QAIC_PUBLIC_LAYER","Manifest generated by P3.82A R3."
